Game,Platform
1942,NES
007: The World Is Not Enough,N64
1-2-Switch,NS
1080° Snowboarding,N64
4 Nin Uchi Mahjong,NES
Active Life: Outdoor Challenge,Wii
Adventure Island,NES
Alleyway,GB/GBC
Among Us,NS
Animal Crossing,GCN
Animal Crossing: City Folk,Wii
Animal Crossing: Happy Home Designer,3DS
Animal Crossing: New Horizons,NS
Animal Crossing: New Leaf,3DS
Animal Crossing: Wild World,DS
Arms,NS
Art Academy,DS
Astral Chain,NS
Banjo-Kazooie,N64
Banjo-Tooie,N64
Baseball,NES
Baseball,GB/GBC
Bases Loaded,NES
Big Beach Sports,Wii
Big Brain Academy,DS
Big Brain Academy: Brain vs. Brain,NS
Big Brain Academy: Wii Degree,Wii
Bomberman,NES
Brain Age 2: More Training in Minutes a Day!,DS
Brain Age: Train Your Brain in Minutes a Day!,DS
Bravely Default,3DS
Call of Duty: World at War,Wii
Captain Toad: Treasure Tracker,WU
Captain Toad: Treasure Tracker,NS
Carnival Games,Wii
Chip 'n Dale Rescue Rangers,NES
Chrono Trigger,SNES
Chrono Trigger,DS
Clubhouse Games,DS
Clubhouse Games: 51 Worldwide Classics,NS
Commando,NES
Common Sense Training,DS
Cooking Mama,DS
Cruis'n USA,N64
Deca Sports,Wii
Derby Stallion '96,SNES
Derby Stallion III,SNES
Diddy Kong Racing,N64
Diddy Kong Racing DS,DS
Disney Princess,GBA
Disney's Aladdin,SNES
Donkey Kong,NES
Donkey Kong,GB/GBC
Donkey Kong 64,N64
Donkey Kong Classics,NES
Donkey Kong Country,GB/GBC
Donkey Kong Country,SNES
Donkey Kong Country,GBA
Donkey Kong Country 2,GBA
Donkey Kong Country 2: Diddy's Kong Quest,SNES
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES
Donkey Kong Country Returns,Wii
Donkey Kong Country Returns 3D,3DS
Donkey Kong Country: Tropical Freeze,WU
Donkey Kong Country: Tropical Freeze,NS
Donkey Kong Jr.,NES
Donkey Kong Land,GB/GBC
Donkey Kong Land 2,GB/GBC
Donkey Kong Land III,GB/GBC
Donkey Konga,GCN
Doraemon,NES
Dr Kawashima's Brain Training for Nintendo Switch,NS
Dr. Mario,NES
Dr. Mario,GB/GBC
Dragon Ball FighterZ,NS
Dragon Ball Xenoverse 2,NS
Dragon Ball Z: Super Butōden,SNES
Dragon Ball Z: Super Butōden 2,SNES
Dragon Ball Z: The Legacy of Goku,GBA
Dragon Power,NES
Dragon Quest,NES
Dragon Quest I & II,SNES
Dragon Quest II,NES
