Game,Platform
7 Days to Die,Windows-Based PC
Adventure,Atari 2600
Age of Empires,Windows-Based PC
Age of Empires II: The Age of Kings,Windows-Based PC
Age of Empires III,Windows-Based PC
Age of Mythology,Windows-Based PC
Altered Beast,Sega Genesis
American McGee's Alice,Windows-Based PC
American Truck Simulator,Windows-Based PC
Anno 1503,Windows-Based PC
Anno 1602,Windows-Based PC
Ark: Survival Evolved,Windows-Based PC
ARMA 3,Windows-Based PC
Asteroids,Atari 2600
Atlantis,Atari 2600
Baldur's Gate,Windows-Based PC
Baldur's Gate II: Shadows of Amn,Windows-Based PC
Battlefield 1942,Windows-Based PC
Battlefield Vietnam,Windows-Based PC
Berzerk,Atari 2600
BioShock,Windows-Based PC
Black & White,Windows-Based PC
Blade Runner,Windows-Based PC
Breakout,Atari 2600
Caesar II,Windows-Based PC
Caesar III,Windows-Based PC
Centipede,Atari 2600
Cities: Skylines,Windows-Based PC
Civilization II,Windows-Based PC
Civilization III,Windows-Based PC
Civilization IV,Windows-Based PC
Civilization V,Windows-Based PC
Command & Conquer,Windows-Based PC
Command & Conquer 3: Tiberium Wars,Windows-Based PC
Command & Conquer: Red Alert,Windows-Based PC
Command & Conquer: Red Alert 2,Windows-Based PC
Command & Conquer: Tiberian Sun,Windows-Based PC
Commandos: Behind Enemy Lines,Windows-Based PC
Cosmic Ark,Atari 2600
Cossacks II: Napoleonic Wars,Windows-Based PC
Counter-Strike: Condition Zero,Windows-Based PC
Counter-Strike: Source,Windows-Based PC
Crusader Kings II,Windows-Based PC
Crusader Kings III,Windows-Based PC
Crysis,Windows-Based PC
Crysis Warhead,Windows-Based PC
Cuphead,Windows-Based PC
Cyberpunk 2077,Windows-Based PC
Danganronpa 2: Goodbye Despair,Windows-Based PC
Danganronpa: Trigger Happy Havoc,Windows-Based PC
Dark Souls,Windows-Based PC
Dark Souls II,Windows-Based PC
Dark Souls III,Windows-Based PC
Daryl F. Gates' Police Quest: SWAT,Windows-Based PC
DayZ,Windows-Based PC
Deep Rock Galactic,Windows-Based PC
Deer Hunter,Windows-Based PC
Defender,Atari 2600
Demon Attack,Atari 2600
Diablo,Windows-Based PC
Diablo II,Windows-Based PC
Diablo III,Windows-Based PC
Disney's Aladdin,Sega Genesis
Divinity: Original Sin II,Windows-Based PC
Donkey Kong,Atari 2600
Doom,Windows-Based PC
Doom II: Hell on Earth,Windows-Based PC
Duke Nukem 3D,Windows-Based PC
Dungeon Lords,Windows-Based PC
Dungeon Siege,Windows-Based PC
E.T. the Extra-Terrestrial,Atari 2600
Empire Earth,Windows-Based PC
Euro Truck Simulator 2,Windows-Based PC
Europa Universalis IV,Windows-Based PC
EverQuest,Windows-Based PC
Factorio,Windows-Based PC
Fall Guys,Windows-Based PC
Far Cry,Windows-Based PC
Final Fantasy VII,Windows-Based PC
Freeway,Atari 2600
Frogger,Atari 2600
Frogger,Windows-Based PC
Full Throttle,Windows-Based PC
Garry's Mod,Windows-Based PC
Glory of the Roman Empire,Windows-Based PC
Grand Prix 2,Windows-Based PC
Grand Theft Auto V,Windows-Based PC
Guild Wars,Windows-Based PC
Guild Wars 2,Windows-Based PC
Half-Life,Windows-Based PC
Half-Life 2,Windows-Based PC
Harry Potter and the Philosopher's Stone,Windows-Based PC
Hearts of Iron IV,Windows-Based PC
Hidden & Dangerous,Windows-Based PC
Hidden & Dangerous 2,Windows-Based PC
Hollow Knight,Windows-Based PC
Horizon Zero Dawn,Windows-Based PC
Hotel Giant,Windows-Based PC
Hydlide,Windows-Based PC
Imperivm: Great Battles of Rome,Windows-Based PC
International Karate,Windows-Based PC
Jurassic Park,Sega Genesis
Just Survive[f],Windows-Based PC
Kaboom!,Atari 2600
Killing Floor,Windows-Based PC
Kingdom Come: Deliverance,Windows-Based PC
Laser Blast,Atari 2600
Last Ninja 2,Windows-Based PC
Lords of the Realm II,Windows-Based PC
Machinarium,Windows-Based PC
Mafia: The City of Lost Heaven,Windows-Based PC
Magicka,Windows-Based PC
Megamania,Atari 2600
Metal Gear Solid V: The Phantom Pain,Windows-Based PC
Microsoft Flight Simulator X,Windows-Based PC
Mighty Morphin Power Rangers ,Sega Genesis
Minecraft,Windows-Based PC
Missile Command,Atari 2600
Mordhau ,Windows-Based PC
Mortal Kombat,Sega Genesis
Mortal Kombat 3,Sega Genesis
Mortal Kombat II,Sega Genesis
Ms. Pac-Man,Atari 2600
Ms. Pac-Man,Sega Genesis
Myst,Windows-Based PC
NBA Jam,Sega Genesis
Neverwinter Nights,Windows-Based PC
NFL '98,Sega Genesis
NFL Football '94,Sega Genesis
Nier: Automata,Windows-Based PC
Night Driver,Atari 2600
Operation Flashpoint: Cold War Crisis,Windows-Based PC
Pac-Man,Atari 2600
Pac-Man Championship Edition DX+,Windows-Based PC
Patrician III: Rise of the Hanse,Windows-Based PC
Phantasmagoria,Windows-Based PC
Pitfall!,Atari 2600
Planet Coaster,Windows-Based PC
POD,Windows-Based PC
Populous,Windows-Based PC
Prison Architect,Windows-Based PC
Psychonauts,Windows-Based PC
PUBG: Battlegrounds,Windows-Based PC
Quake,Windows-Based PC
Quake II,Windows-Based PC
Raiders of the Lost Ark,Atari 2600
Railroad Tycoon II,Windows-Based PC
Resident Evil 4: Ultimate HD Edition,Windows-Based PC
Resident Evil 5,Windows-Based PC
Resident Evil 6,Windows-Based PC
Return to Castle Wolfenstein,Windows-Based PC
Return to Zork,Windows-Based PC
River Raid ,Atari 2600
RoboCop,Windows-Based PC
RollerCoaster Tycoon,Windows-Based PC
RollerCoaster Tycoon 3,Windows-Based PC
Rome: Total War,Windows-Based PC
Runaway: A Road Adventure,Windows-Based PC
Rust,Windows-Based PC
Sacred,Windows-Based PC
Satisfactory,Windows-Based PC
Sega Mega Drive and Genesis Classics,Windows-Based PC
SimCity,Windows-Based PC
SimCity 3000,Windows-Based PC
SimCity 4,Windows-Based PC
Sonic & Knuckles,Sega Genesis
Sonic Spinball,Sega Genesis
Sonic the Hedgehog,Sega Genesis
Sonic the Hedgehog 2,Sega Genesis
Sonic the Hedgehog 3,Sega Genesis
Space Engineers,Windows-Based PC
Space Invaders,Atari 2600
Spore,Windows-Based PC
Star Wars Galaxies,Windows-Based PC
Star Wars: Rebel Assault,Windows-Based PC
Star Wars: The Empire Strikes Back,Atari 2600
StarCraft,Windows-Based PC
StarCraft II: Heart of the Swarm,Windows-Based PC
StarCraft II: Legacy of the Void,Windows-Based PC
StarCraft II: Wings of Liberty,Windows-Based PC
Stardew Valley,Windows-Based PC
Stellaris,Windows-Based PC
Stickfight: The Game,Windows-Based PC
Street Fighter II: Special Champion Edition,Sega Genesis
Streets of Rage,Sega Genesis
Stronghold,Windows-Based PC
Stronghold: Crusader,Windows-Based PC
Supreme Commander,Windows-Based PC
Terraria,Windows-Based PC
Tetris,Windows-Based PC
The Binding of Isaac,Windows-Based PC
The Forest,Windows-Based PC
The Last Ninja,Windows-Based PC
The Legend of Sword and Fairy 3,Windows-Based PC
The Legend of Sword and Fairy 5,Windows-Based PC
The Sims,Windows-Based PC
The Sims 2,Windows-Based PC
The Sims 3,Windows-Based PC
The Stanley Parable,Windows-Based PC
The Witcher,Windows-Based PC
The Witcher 2: Assassins of Kings,Windows-Based PC
The Witcher 3: Wild Hunt,Windows-Based PC
Theme Park,Windows-Based PC
Total Annihilation,Windows-Based PC
Tropico,Windows-Based PC
Ultra Street Fighter IV,Windows-Based PC
Unreal,Windows-Based PC
Unreal Tournament,Windows-Based PC
V Rising,Windows-Based PC
Valheim,Windows-Based PC
Vietcong,Windows-Based PC
Warcraft II: Tides of Darkness,Windows-Based PC
Warcraft III: Reign of Chaos,Windows-Based PC
"Warhammer 40,000: Dawn of War (including expansions)",Windows-Based PC
Warhammer Online: Age of Reckoning,Windows-Based PC
Warlords,Atari 2600
Where in the World Is Carmen Sandiego?,Windows-Based PC
Who Wants to Be a Millionaire?,Windows-Based PC
Wing Commander 3: Heart of the Tiger,Windows-Based PC
World of Warcraft,Windows-Based PC
X-Men,Sega Genesis
Yars' Revenge,Atari 2600
Zoo Tycoon,Windows-Based PC
