Adex,Melemele,Akala,Ula'ula,Poni,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#001,#001,-,-,-,#722,,Rowlet,Grass,Flying
#002,#002,-,-,-,#723,,Dartrix,Grass,Flying
#003,#003,-,-,-,#724,,Decidueye,Grass,Ghost
#004,#004,-,-,-,#725,,Litten,Fire,
#005,#005,-,-,-,#726,,Torracat,Fire,
#006,#006,-,-,-,#727,,Incineroar,Fire,Dark
#007,#007,-,-,-,#728,,Popplio,Water,
#008,#008,-,-,-,#729,,Brionne,Water,
#009,#009,-,-,-,#730,,Primarina,Water,Fairy
#010,#010,#001,#001,#001,#731,,Pikipek,Normal,Flying
#011,#011,#002,#002,#002,#732,,Trumbeak,Normal,Flying
#012,#012,#003,#003,#003,#733,,Toucannon,Normal,Flying
#013,#013,#004,#004,#004,#734,,Yungoos,Normal,
#014,#014,#005,#005,#005,#735,,Gumshoos,Normal,
#015,#015,#006,#006,#006,#019,,Rattata,Dark,Normal
#016,#016,#007,#007,#007,#020,,Raticate,Dark,Normal
#017,#017,#008,-,-,#010,,Caterpie,Bug,
#018,#018,#009,-,-,#011,,Metapod,Bug,
#019,#019,#010,-,-,#012,,Butterfree,Bug,Flying
#020,#020,-,#008,-,#165,,Ledyba,Bug,Flying
#021,#021,-,#009,-,#166,,Ledian,Bug,Flying
#022,#022,-,#010,-,#167,,Spinarak,Bug,Poison
#023,#023,-,#011,-,#168,,Ariados,Bug,Poison
#024,#024,-,-,-,#172,,Pichu,Electric,
#025,#025,-,-,-,#025,,Pikachu,Electric,
#026,#026,-,-,-,#026,,Raichu,Electric,Psychic
#027,#027,#011,#012,-,#736,,Grubbin,Bug,
#028,#028,#012,#013,-,#737,,Charjabug,Bug,Electric
#029,#029,#013,#014,-,#738,,Vikavolt,Bug,Electric
#030,#030,#014,-,-,#438,,Bonsly,Rock,
#031,#031,#015,-,-,#185,,Sudowoodo,Rock,
#032,#032,#016,#015,#008,#440,,Happiny,Normal,
#033,#033,#017,#016,#009,#113,,Chansey,Normal,
#034,#034,#018,#017,#010,#242,,Blissey,Normal,
#035,#035,-,-,-,#446,,Munchlax,Normal,
#036,#036,-,-,-,#143,,Snorlax,Normal,
#037,#037,-,#018,-,#079,,Slowpoke,Water,Psychic
#038,#038,-,#019,-,#080,,Slowbro,Water,Psychic
#039,#039,-,#020,-,#199,,Slowking,Water,Psychic
#040,#040,#019,#021,#011,#278,,Wingull,Water,Flying
#041,#041,#020,#022,#012,#279,,Pelipper,Water,Flying
#042,#042,-,-,-,#063,,Abra,Psychic,
#043,#043,-,-,-,#064,,Kadabra,Psychic,
#044,#044,-,-,-,#065,,Alakazam,Psychic,
#045,#045,-,#023,-,#052,,Meowth,Dark,
#046,#046,-,#024,-,#053,,Persian,Dark,
#047,#047,-,#025,-,#081,,Magnemite,Electric,Steel
#048,#048,-,#026,-,#082,,Magneton,Electric,Steel
#049,#049,-,#027,-,#462,,Magnezone,Electric,Steel
#050,#050,-,#028,-,#088,,Grimer,Poison,Dark
#051,#051,-,#029,-,#089,,Muk,Poison,Dark
#052,#052,-,-,-,#058,,Growlithe,Fire,
#053,#053,-,-,-,#059,,Arcanine,Fire,
#054,#054,-,-,#013,#096,,Drowzee,Psychic,
#055,#055,-,-,#014,#097,,Hypno,Psychic,
#056,#056,-,-,#015,#296,,Makuhita,Fighting,
#057,#057,-,-,#016,#297,,Hariyama,Fighting,
#058,#058,-,-,-,#235,,Smeargle,Normal,
#059,#059,#021,#030,#017,#739,,Crabrawler,Fighting,
#060,#060,#022,#031,#018,#740,,Crabominable,Fighting,Ice
#061,#061,#023,#032,-,#092,,Gastly,Ghost,Poison
#062,#062,#024,#033,-,#093,,Haunter,Ghost,Poison
#063,#063,#025,#034,-,#094,,Gengar,Ghost,Poison
#064,#064,-,-,-,#425,,Drifloon,Ghost,Flying
#065,#065,-,-,-,#426,,Drifblim,Ghost,Flying
#066,#066,-,-,-,#200,,Misdreavus,Ghost,
#067,#067,-,-,-,#429,,Mismagius,Ghost,
#068,#068,#026,#035,#019,#041,,Zubat,Poison,Flying
#069,#069,#027,#036,#020,#042,,Golbat,Poison,Flying
#070,#070,#028,#037,#021,#169,,Crobat,Poison,Flying
#071,#071,#029,#038,#022,#050,,Diglett,Ground,Steel
#072,#072,#030,#039,#023,#051,,Dugtrio,Ground,Steel
#073,#073,-,#040,#024,#021,,Spearow,Normal,Flying
#074,#074,-,#041,#025,#022,,Fearow,Normal,Flying
#075,#075,-,-,#026,#627,,Rufflet,Normal,Flying
#076,#076,-,-,#027,#628,,Braviary,Normal,Flying
#077,#077,-,-,#028,#629,,Vullaby,Dark,Flying
#078,#078,-,-,#029,#630,,Mandibuzz,Dark,Flying
#079,#079,-,-,#030,#056,,Mankey,Fighting,
#080,#080,-,-,#031,#057,,Primeape,Fighting,
#081,#081,-,-,-,#225,,Delibird,Ice,Flying
