Ndex,Menu Sprite,English,Traditional,Simplified,Pinyin,Yale
1,,Bulbasaur,妙蛙種子,妙蛙种子,Miàowāzhǒngzǐ,Miuhwājúngjí
2,,Ivysaur,妙蛙草,妙蛙草,Miàowācǎo,Miuhwāchóu
3,,Venusaur,妙蛙花,妙蛙花,Miàowāhuā,Miuhwāfā
4,,Charmander,小火龍,小火龙,Xiǎohuǒlóng,Síufólùhng
5,,Charmeleon,火恐龍,火恐龙,Huǒkǒnglóng,Fóhúnglùhng
6,,Charizard,噴火龍,喷火龙,Pēnhuǒlóng,Panfólùhng
7,,Squirtle,傑尼龜,杰尼龟,Jiéníguī,Gihtnèihgwāi
8,,Wartortle,卡咪龜,卡咪龟,Kǎmīguī,Kāmāigwāi
9,,Blastoise,水箭龜,水箭龟,Shuǐjiànguī,Séuijingwāi
10,,Caterpie,綠毛蟲,绿毛虫,Lǜmáochóng,Luhkmòuhchùhng
11,,Metapod,鐵甲蛹,铁甲蛹,Tiějiáyǒng,Titgaapyúng
12,,Butterfree,巴大蝶,巴大蝶,Bādàdié,Bādaaidihp
13,,Weedle,獨角蟲,独角虫,Dújiǎochóng,Duhkgokchùhng
14,,Kakuna,鐵殼蛹,铁壳蛹,Tiěkéyǒng,Tithokyúng
15,,Beedrill,大針蜂,大针蜂,Dàzhēnfēng,Daaihjāmfūng
16,,Pidgey,波波,波波,Bōbō,Bōbō
17,,Pidgeotto,比比鳥,比比鸟,Bǐbǐniǎo,Béibéiníuh
18,,Pidgeot,大比鳥,大比鸟,Dàbǐniǎo,Daaihbéiníuh
19,,Rattata,小拉達,小拉达,Xiǎolādá,Síulāaidaaht
20,,Raticate,拉達,拉达,Lādá,Lāaidaaht
21,,Spearow,烈雀,烈雀,Lièquè,Lihtjéuk
22,,Fearow,大嘴雀,大嘴雀,Dàzuǐquè,Daaihjéuijéuk
23,,Ekans,阿柏蛇,阿柏蛇,Ābóshé,Apaaksèh
24,,Arbok,阿柏怪,阿柏怪,Ābóguài,Apaakgwai
25,,Pikachu,皮卡丘,皮卡丘,Píkǎqiū,Pèihkāyāu
26,,Raichu,雷丘,雷丘,Léiqiū,Lèuihyāu
27,,Sandshrew,穿山鼠,穿山鼠,Chuānshānshǔ,Chyūnsāansyú
28,,Sandslash,穿山王,穿山王,Chuānshānwáng,Chyūnsāanwòhng
29,,Nidoran♀,尼多蘭,尼多兰,Níduōlán,Nèihdōlàahn
30,,Nidorina,尼多娜,尼多娜,Níduōnà,Nèihdōnàh
31,,Nidoqueen,尼多后,尼多后,Níduōhòu,Nèihdōhauh
32,,Nidoran♂,尼多朗,尼多朗,Níduōláng,Nèihdōlóhng
33,,Nidorino,尼多力諾,尼多力诺,Níduōlìnuò,Nèihdōlihknohk
34,,Nidoking,尼多王,尼多王,Níduōwáng,Nèihdōwòhng
35,,Clefairy,皮皮,皮皮,Pípí,Pèihpèih
36,,Clefable,皮可西,皮可西,Píkěxī,Pèihhósāi
37,,Vulpix,六尾,六尾,Liùwěi,Luhkméih
38,,Ninetales,九尾,九尾,Jiǔwěi,Gáuméih
39,,Jigglypuff,胖丁,胖丁,Pàngdīng,Buhndīng
40,,Wigglytuff,胖可丁,胖可丁,Pàngkědīng,Buhnhódīng
41,,Zubat,超音蝠,超音蝠,Chāoyīnfú,Chīuyāmfūk
