Gdex,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#001,#810,,Grookey,Grass,
#002,#811,,Thwackey,Grass,
#003,#812,,Rillaboom,Grass,
#004,#813,,Scorbunny,Fire,
#005,#814,,Raboot,Fire,
#006,#815,,Cinderace,Fire,
#007,#816,,Sobble,Water,
#008,#817,,Drizzile,Water,
#009,#818,,Inteleon,Water,
#010,#824,,Blipbug,Bug,
#011,#825,,Dottler,Bug,Psychic
#012,#826,,Orbeetle,Bug,Psychic
#013,#010,,Caterpie,Bug,
#014,#011,,Metapod,Bug,
#015,#012,,Butterfree,Bug,Flying
#016,#736,,Grubbin,Bug,
#017,#737,,Charjabug,Bug,Electric
#018,#738,,Vikavolt,Bug,Electric
#019,#163,,Hoothoot,Normal,Flying
#020,#164,,Noctowl,Normal,Flying
#021,#821,,Rookidee,Flying,
#022,#822,,Corvisquire,Flying,
#023,#823,,Corviknight,Flying,Steel
#024,#819,,Skwovet,Normal,
#025,#820,,Greedent,Normal,
#026,#519,,Pidove,Normal,Flying
#027,#520,,Tranquill,Normal,Flying
#028,#521,,Unfezant,Normal,Flying
#029,#827,,Nickit,Dark,
#030,#828,,Thievul,Dark,
#031,#263,,Zigzagoon,Dark,Normal
#031,#263,,Zigzagoon,Normal,
#032,#264,,Linoone,Dark,Normal
#032,#264,,Linoone,Normal,
#033,#862,,Obstagoon,Dark,Normal
#034,#831,,Wooloo,Normal,
#035,#832,,Dubwool,Normal,
#036,#270,,Lotad,Water,Grass
#037,#271,,Lombre,Water,Grass
#038,#272,,Ludicolo,Water,Grass
#039,#273,,Seedot,Grass,
#040,#274,,Nuzleaf,Grass,Dark
#041,#275,,Shiftry,Grass,Dark
#042,#833,,Chewtle,Water,
#043,#834,,Drednaw,Water,Rock
#044,#509,,Purrloin,Dark,
#045,#510,,Liepard,Dark,
#046,#835,,Yamper,Electric,
#047,#836,,Boltund,Electric,
#048,#659,,Bunnelby,Normal,
#049,#660,,Diggersby,Normal,Ground
#050,#572,,Minccino,Normal,
#051,#573,,Cinccino,Normal,
#052,#761,,Bounsweet,Grass,
#053,#762,,Steenee,Grass,
#054,#763,,Tsareena,Grass,
#055,#043,,Oddish,Grass,Poison
#056,#044,,Gloom,Grass,Poison
#057,#045,,Vileplume,Grass,Poison
#058,#182,,Bellossom,Grass,
#059,#406,,Budew,Grass,Poison
#060,#315,,Roselia,Grass,Poison
#061,#407,,Roserade,Grass,Poison
#062,#278,,Wingull,Water,Flying
#063,#279,,Pelipper,Water,Flying
#064,#595,,Joltik,Bug,Electric
#065,#596,,Galvantula,Bug,Electric
#066,#309,,Electrike,Electric,
#067,#310,,Manectric,Electric,
#068,#037,,Vulpix,Fire,
#068,#037,,Vulpix,Ice,
#069,#038,,Ninetales,Fire,
#069,#038,,Ninetales,Ice,Fairy
#070,#058,,Growlithe,Fire,
#071,#059,,Arcanine,Fire,
#072,#582,,Vanillite,Ice,
#073,#583,,Vanillish,Ice,
#074,#584,,Vanilluxe,Ice,
#075,#220,,Swinub,Ice,Ground
#076,#221,,Piloswine,Ice,Ground
#077,#473,,Mamoswine,Ice,Ground
#078,#225,,Delibird,Ice,Flying
#079,#361,,Snorunt,Ice,
#080,#362,,Glalie,Ice,
#081,#478,,Froslass,Ice,Ghost
#082,#343,,Baltoy,Ground,Psychic
#083,#344,,Claydol,Ground,Psychic
#084,#749,,Mudbray,Ground,
#085,#750,,Mudsdale,Ground,
#086,#557,,Dwebble,Bug,Rock
#087,#558,,Crustle,Bug,Rock
#088,#622,,Golett,Ground,Ghost
#089,#623,,Golurk,Ground,Ghost
#090,#517,,Munna,Psychic,
#091,#518,,Musharna,Psychic,
#092,#177,,Natu,Psychic,Flying
#093,#178,,Xatu,Psychic,Flying
#094,#759,,Stufful,Normal,Fighting
#095,#760,,Bewear,Normal,Fighting
#096,#459,,Snover,Grass,Ice
#097,#460,,Abomasnow,Grass,Ice
#098,#098,,Krabby,Water,
#099,#099,,Kingler,Water,
#100,#194,,Wooper,Water,Ground
#101,#195,,Quagsire,Water,Ground
#102,#341,,Corphish,Water,
#103,#342,,Crawdaunt,Water,Dark
#104,#290,,Nincada,Bug,Ground
#105,#291,,Ninjask,Bug,Flying
#106,#292,,Shedinja,Bug,Ghost
#107,#236,,Tyrogue,Fighting,
#108,#106,,Hitmonlee,Fighting,
#109,#107,,Hitmonchan,Fighting,
#110,#237,,Hitmontop,Fighting,
#111,#674,,Pancham,Fighting,
#112,#675,,Pangoro,Fighting,Dark
#113,#599,,Klink,Steel,
#114,#600,,Klang,Steel,
#115,#601,,Klinklang,Steel,
#116,#415,,Combee,Bug,Flying
#117,#416,,Vespiquen,Bug,Flying
#118,#436,,Bronzor,Steel,Psychic
#119,#437,,Bronzong,Steel,Psychic
#120,#280,,Ralts,Psychic,Fairy
#121,#281,,Kirlia,Psychic,Fairy
#122,#282,,Gardevoir,Psychic,Fairy
#123,#475,,Gallade,Psychic,Fighting
#124,#425,,Drifloon,Ghost,Flying
#125,#426,,Drifblim,Ghost,Flying
#126,#829,,Gossifleur,Grass,
#127,#830,,Eldegoss,Grass,
#128,#420,,Cherubi,Grass,
#129,#421,,Cherrim,Grass,
#130,#434,,Stunky,Poison,Dark
