IoAdex,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#001,#079,,Slowpoke,Psychic,
#001,#079,,Slowpoke,Water,Psychic
#002,#080,,Slowbro,Poison,Psychic
#002,#080,,Slowbro,Water,Psychic
#003,#199,,Slowking,Poison,Psychic
#003,#199,,Slowking,Water,Psychic
#004,#427,,Buneary,Normal,
#005,#428,,Lopunny,Normal,
#006,#440,,Happiny,Normal,
#007,#113,,Chansey,Normal,
#008,#242,,Blissey,Normal,
#009,#819,,Skwovet,Normal,
#010,#820,,Greedent,Normal,
#011,#174,,Igglybuff,Normal,Fairy
#012,#039,,Jigglypuff,Normal,Fairy
#013,#040,,Wigglytuff,Normal,Fairy
#014,#824,,Blipbug,Bug,
#015,#825,,Dottler,Bug,Psychic
#016,#826,,Orbeetle,Bug,Psychic
#017,#753,,Fomantis,Grass,
#018,#754,,Lurantis,Grass,
#019,#840,,Applin,Grass,Dragon
#020,#841,,Flapple,Grass,Dragon
#021,#842,,Appletun,Grass,Dragon
#022,#661,,Fletchling,Normal,Flying
#023,#662,,Fletchinder,Fire,Flying
#024,#663,,Talonflame,Fire,Flying
#025,#403,,Shinx,Electric,
#026,#404,,Luxio,Electric,
#027,#405,,Luxray,Electric,
#028,#707,,Klefki,Steel,Fairy
#029,#624,,Pawniard,Dark,Steel
#030,#625,,Bisharp,Dark,Steel
#031,#063,,Abra,Psychic,
#032,#064,,Kadabra,Psychic,
#033,#065,,Alakazam,Psychic,
#034,#280,,Ralts,Psychic,Fairy
#035,#281,,Kirlia,Psychic,Fairy
#036,#282,,Gardevoir,Psychic,Fairy
#037,#475,,Gallade,Psychic,Fighting
#038,#098,,Krabby,Water,
#039,#099,,Kingler,Water,
#040,#072,,Tentacool,Water,Poison
#041,#073,,Tentacruel,Water,Poison
#042,#129,,Magikarp,Water,
#043,#130,,Gyarados,Water,Flying
#044,#223,,Remoraid,Water,
#045,#224,,Octillery,Water,
#046,#458,,Mantyke,Water,Flying
#047,#226,,Mantine,Water,Flying
#048,#278,,Wingull,Water,Flying
#049,#279,,Pelipper,Water,Flying
#050,#451,,Skorupi,Poison,Bug
#051,#452,,Drapion,Poison,Dark
#052,#206,,Dunsparce,Normal,
#053,#626,,Bouffalant,Normal,
#054,#108,,Lickitung,Normal,
#055,#463,,Lickilicky,Normal,
#056,#833,,Chewtle,Water,
#057,#834,,Drednaw,Water,Rock
#058,#194,,Wooper,Water,Ground
#059,#195,,Quagsire,Water,Ground
#060,#704,,Goomy,Dragon,
#061,#705,,Sliggoo,Dragon,
#062,#706,,Goodra,Dragon,
#063,#621,,Druddigon,Dragon,
#064,#616,,Shelmet,Bug,
#065,#617,,Accelgor,Bug,
#066,#588,,Karrablast,Bug,
#067,#589,,Escavalier,Bug,Steel
#068,#001,,Bulbasaur,Grass,Poison
#069,#002,,Ivysaur,Grass,Poison
#070,#003,,Venusaur,Grass,Poison
#071,#007,,Squirtle,Water,
#072,#008,,Wartortle,Water,
#073,#009,,Blastoise,Water,
#074,#543,,Venipede,Bug,Poison
#075,#544,,Whirlipede,Bug,Poison
#076,#545,,Scolipede,Bug,Poison
#077,#590,,Foongus,Grass,Poison
#078,#591,,Amoonguss,Grass,Poison
#079,#764,,Comfey,Fairy,
#080,#114,,Tangela,Grass,
#081,#465,,Tangrowth,Grass,
#082,#453,,Croagunk,Poison,Fighting
#083,#454,,Toxicroak,Poison,Fighting
#084,#172,,Pichu,Electric,
#085,#025,,Pikachu,Electric,
#086,#026,,Raichu,Electric,
#086,#026,,Raichu,Electric,Psychic
#087,#570,,Zorua,Dark,
#088,#571,,Zoroark,Dark,
#089,#765,,Oranguru,Normal,Psychic
#090,#766,,Passimian,Fighting,
#091,#341,,Corphish,Water,
#092,#342,,Crawdaunt,Water,Dark
#093,#845,,Cramorant,Flying,Water
#094,#118,,Goldeen,Water,
#095,#119,,Seaking,Water,
#096,#846,,Arrokuda,Water,
#097,#847,,Barraskewda,Water,
#098,#120,,Staryu,Water,
#099,#121,,Starmie,Water,Psychic
#100,#891,,Kubfu,Fighting,
#101,#892,,Urshifu,Fighting,Dark
#101,#892,,Urshifu,Fighting,Water
#102,#587,,Emolga,Electric,Flying
#103,#702,,Dedenne,Electric,Fairy
#104,#877,,Morpeko,Electric,Dark
#105,#081,,Magnemite,Electric,Steel
#106,#082,,Magneton,Electric,Steel
#107,#462,,Magnezone,Electric,Steel
#108,#686,,Inkay,Dark,Psychic
#109,#687,,Malamar,Dark,Psychic
#110,#746,,Wishiwashi,Water,
#111,#318,,Carvanha,Water,Dark
#112,#319,,Sharpedo,Water,Dark
#113,#506,,Lillipup,Normal,
#114,#507,,Herdier,Normal,
#115,#508,,Stoutland,Normal,
#116,#128,,Tauros,Normal,
#117,#241,,Miltank,Normal,
#118,#123,,Scyther,Bug,Flying
#119,#212,,Scizor,Bug,Steel
#120,#127,,Pinsir,Bug,
#121,#214,,Heracross,Bug,Fighting
#122,#557,,Dwebble,Bug,Rock
#123,#558,,Crustle,Bug,Rock
#124,#767,,Wimpod,Bug,Water
#125,#768,,Golisopod,Bug,Water
#126,#871,,Pincurchin,Electric,
#127,#747,,Mareanie,Poison,Water
#128,#748,,Toxapex,Poison,Water
#129,#852,,Clobbopus,Fighting,
#130,#853,,Grapploct,Fighting,
#131,#090,,Shellder,Water,
#132,#091,,Cloyster,Water,Ice
#133,#769,,Sandygast,Ghost,Ground
#134,#770,,Palossand,Ghost,Ground
#135,#425,,Drifloon,Ghost,Flying
#136,#426,,Drifblim,Ghost,Flying
#137,#339,,Barboach,Water,Ground
#138,#340,,Whiscash,Water,Ground
#139,#298,,Azurill,Normal,Fairy
#140,#183,,Marill,Water,Fairy
#141,#184,,Azumarill,Water,Fairy
#142,#060,,Poliwag,Water,
#143,#061,,Poliwhirl,Water,
#144,#062,,Poliwrath,Water,Fighting
#145,#186,,Politoed,Water,
#146,#054,,Psyduck,Water,
#147,#055,,Golduck,Water,
#148,#293,,Whismur,Normal,
#149,#294,,Loudred,Normal,
#150,#295,,Exploud,Normal,
#151,#527,,Woobat,Psychic,Flying
#152,#528,,Swoobat,Psychic,Flying
#153,#227,,Skarmory,Steel,Flying
#154,#524,,Roggenrola,Rock,
