Ndex,Menu Sprite,English,Kana,Hepburn,Trademarked
1,,Bulbasaur,フシギダネ,Fushigidane,Fushigidane
2,,Ivysaur,フシギソウ,Fushigisō,Fushigisou
3,,Venusaur,フシギバナ,Fushigibana,Fushigibana
4,,Charmander,ヒトカゲ,Hitokage,Hitokage
5,,Charmeleon,リザード,Rizādo,Lizardo
6,,Charizard,リザードン,Rizādon,Lizardon
7,,Squirtle,ゼニガメ,Zenigame,Zenigame
8,,Wartortle,カメール,Kamēru,Kameil
9,,Blastoise,カメックス,Kamekkusu,Kamex
10,,Caterpie,キャタピー,Kyatapī,Caterpie
11,,Metapod,トランセル,Toranseru,Transel
12,,Butterfree,バタフリー,Batafurī,Butterfree
13,,Weedle,ビードル,Bīdoru,Beedle
14,,Kakuna,コクーン,Kokūn,Cocoon
15,,Beedrill,スピアー,Supiā,Spear
16,,Pidgey,ポッポ,Poppo,Poppo
17,,Pidgeotto,ピジョン,Pijon,Pigeon
18,,Pidgeot,ピジョット,Pijotto,Pigeot
19,,Rattata,コラッタ,Koratta,Koratta
20,,Raticate,ラッタ,Ratta,Ratta
21,,Spearow,オニスズメ,Onisuzume,Onisuzume
22,,Fearow,オニドリル,Onidoriru,Onidrill
23,,Ekans,アーボ,Ābo,Arbo
24,,Arbok,アーボック,Ābokku,Arbok
25,,Pikachu,ピカチュウ,Pikachū,Pikachu
26,,Raichu,ライチュウ,Raichū,Raichu
27,,Sandshrew,サンド,Sando,Sand
28,,Sandslash,サンドパン,Sandopan,Sandpan
29,,Nidoran♀,ニドラン♀,Nidoran Mesu,Nidoran♀
30,,Nidorina,ニドリーナ,Nidorīna,Nidorina
31,,Nidoqueen,ニドクイン,Nidokuin,Nidoqueen
32,,Nidoran♂,ニドラン♂,Nidoran Osu,Nidoran♂
33,,Nidorino,ニドリーノ,Nidorīno,Nidorino
34,,Nidoking,ニドキング,Nidokingu,Nidoking
35,,Clefairy,ピッピ,Pippi,Pippi
36,,Clefable,ピクシー,Pikushī,Pixy
37,,Vulpix,ロコン,Rokon,Rokon
38,,Ninetales,キュウコン,Kyūkon,Kyukon
39,,Jigglypuff,プリン,Purin,Purin
40,,Wigglytuff,プクリン,Pukurin,Pukurin
41,,Zubat,ズバット,Zubatto,Zubat
42,,Golbat,ゴルバット,Gorubatto,Golbat
43,,Oddish,ナゾノクサ,Nazonokusa,Nazonokusa
44,,Gloom,クサイハナ,Kusaihana,Kusaihana
45,,Vileplume,ラフレシア,Rafureshia,Ruffresia
46,,Paras,パラス,Parasu,Paras
47,,Parasect,パラセクト,Parasekuto,Parasect
48,,Venonat,コンパン,Konpan,Kongpang
49,,Venomoth,モルフォン,Morufon,Morphon
50,,Diglett,ディグダ,Diguda,Digda
51,,Dugtrio,ダグトリオ,Dagutorio,Dugtrio
52,,Meowth,ニャース,Nyāsu,Nyarth
53,,Persian,ペルシアン,Perushian,Persian
54,,Psyduck,コダック,Kodakku,Koduck
55,,Golduck,ゴルダック,Gorudakku,Golduck
56,,Mankey,マンキー,Mankī,Mankey
57,,Primeape,オコリザル,Okorizaru,Okorizaru
58,,Growlithe,ガーディ,Gādi,Gardie
59,,Arcanine,ウインディ,Uindi,Windie
60,,Poliwag,ニョロモ,Nyoromo,Nyoromo
61,,Poliwhirl,ニョロゾ,Nyorozo,Nyorozo
62,,Poliwrath,ニョロボン,Nyorobon,Nyorobon
