Kdex,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#001,#001,,Bulbasaur,Grass,Poison
#002,#002,,Ivysaur,Grass,Poison
#003,#003,,Venusaur,Grass,Poison
#004,#004,,Charmander,Fire,
#005,#005,,Charmeleon,Fire,
#006,#006,,Charizard,Fire,Flying
#007,#007,,Squirtle,Water,
#008,#008,,Wartortle,Water,
#009,#009,,Blastoise,Water,
#010,#010,,Caterpie,Bug,
#011,#011,,Metapod,Bug,
#012,#012,,Butterfree,Bug,Flying
#013,#013,,Weedle,Bug,Poison
#014,#014,,Kakuna,Bug,Poison
#015,#015,,Beedrill,Bug,Poison
#016,#016,,Pidgey,Normal,Flying
#017,#017,,Pidgeotto,Normal,Flying
#018,#018,,Pidgeot,Normal,Flying
#019,#019,,Rattata,Normal,
#019,#019,,Rattata,Dark,Normal
#020,#020,,Raticate,Normal,
#020,#020,,Raticate,Dark,Normal
#021,#021,,Spearow,Normal,Flying
#022,#022,,Fearow,Normal,Flying
#023,#023,,Ekans,Poison,
#024,#024,,Arbok,Poison,
#025,#025,,Pikachu,Electric,
#026,#026,,Raichu,Electric,
#026,#026,,Raichu,Electric,Psychic
#027,#027,,Sandshrew,Ground,
#027,#027,,Sandshrew,Ice,Steel
#028,#028,,Sandslash,Ground,
#028,#028,,Sandslash,Ice,Steel
#029,#029,,Nidoran♀,Poison,
#030,#030,,Nidorina,Poison,
#031,#031,,Nidoqueen,Poison,Ground
#032,#032,,Nidoran♂,Poison,
#033,#033,,Nidorino,Poison,
#034,#034,,Nidoking,Poison,Ground
#035,#035,,Clefairy,Fairy,
#036,#036,,Clefable,Fairy,
#037,#037,,Vulpix,Fire,
#037,#037,,Vulpix,Ice,
#038,#038,,Ninetales,Fire,
#038,#038,,Ninetales,Ice,Fairy
#039,#039,,Jigglypuff,Normal,Fairy
#040,#040,,Wigglytuff,Normal,Fairy
#041,#041,,Zubat,Poison,Flying
#042,#042,,Golbat,Poison,Flying
#043,#043,,Oddish,Grass,Poison
#044,#044,,Gloom,Grass,Poison
#045,#045,,Vileplume,Grass,Poison
#046,#046,,Paras,Bug,Grass
#047,#047,,Parasect,Bug,Grass
#048,#048,,Venonat,Bug,Poison
#049,#049,,Venomoth,Bug,Poison
#050,#050,,Diglett,Ground,
#050,#050,,Diglett,Ground,Steel
#051,#051,,Dugtrio,Ground,
#051,#051,,Dugtrio,Ground,Steel
#052,#052,,Meowth,Normal,
#052,#052,,Meowth,Dark,
#053,#053,,Persian,Normal,
#053,#053,,Persian,Dark,
#054,#054,,Psyduck,Water,
#055,#055,,Golduck,Water,
#056,#056,,Mankey,Fighting,
#057,#057,,Primeape,Fighting,
#058,#058,,Growlithe,Fire,
#059,#059,,Arcanine,Fire,
#060,#060,,Poliwag,Water,
#061,#061,,Poliwhirl,Water,
#062,#062,,Poliwrath,Water,Fighting
#063,#063,,Abra,Psychic,
#064,#064,,Kadabra,Psychic,
#065,#065,,Alakazam,Psychic,
#066,#066,,Machop,Fighting,
#067,#067,,Machoke,Fighting,
#068,#068,,Machamp,Fighting,
#069,#069,,Bellsprout,Grass,Poison
#070,#070,,Weepinbell,Grass,Poison
#071,#071,,Victreebel,Grass,Poison
#072,#072,,Tentacool,Water,Poison
#073,#073,,Tentacruel,Water,Poison
#074,#074,,Geodude,Rock,Ground
#074,#074,,Geodude,Rock,Electric
#075,#075,,Graveler,Rock,Ground
#075,#075,,Graveler,Rock,Electric
#076,#076,,Golem,Rock,Ground
#076,#076,,Golem,Rock,Electric
#077,#077,,Ponyta,Fire,
#078,#078,,Rapidash,Fire,
#079,#079,,Slowpoke,Water,Psychic
#080,#080,,Slowbro,Water,Psychic
#081,#081,,Magnemite,Electric,Steel
#082,#082,,Magneton,Electric,Steel
#083,#083,,Farfetch'd,Normal,Flying
#084,#084,,Doduo,Normal,Flying
#085,#085,,Dodrio,Normal,Flying
#086,#086,,Seel,Water,
#087,#087,,Dewgong,Water,Ice
#088,#088,,Grimer,Poison,
#088,#088,,Grimer,Poison,Dark
#089,#089,,Muk,Poison,
#089,#089,,Muk,Poison,Dark
#090,#090,,Shellder,Water,
#091,#091,,Cloyster,Water,Ice
#092,#092,,Gastly,Ghost,Poison
#093,#093,,Haunter,Ghost,Poison
#094,#094,,Gengar,Ghost,Poison
#095,#095,,Onix,Rock,Ground
#096,#096,,Drowzee,Psychic,
#097,#097,,Hypno,Psychic,
#098,#098,,Krabby,Water,
#099,#099,,Kingler,Water,
#100,#100,,Voltorb,Electric,
#101,#101,,Electrode,Electric,
#102,#102,,Exeggcute,Grass,Psychic
#103,#103,,Exeggutor,Grass,Psychic
#103,#103,,Exeggutor,Grass,Dragon
#104,#104,,Cubone,Ground,
#105,#105,,Marowak,Ground,
#105,#105,,Marowak,Fire,Ghost
#106,#106,,Hitmonlee,Fighting,
#107,#107,,Hitmonchan,Fighting,
#108,#108,,Lickitung,Normal,
#109,#109,,Koffing,Poison,
#110,#110,,Weezing,Poison,
#111,#111,,Rhyhorn,Ground,Rock
#112,#112,,Rhydon,Ground,Rock
#113,#113,,Chansey,Normal,
#114,#114,,Tangela,Grass,
#115,#115,,Kangaskhan,Normal,
#116,#116,,Horsea,Water,
#117,#117,,Seadra,Water,
#118,#118,,Goldeen,Water,
#119,#119,,Seaking,Water,
#120,#120,,Staryu,Water,
#121,#121,,Starmie,Water,Psychic
#122,#122,,Mr. Mime,Psychic,Fairy
#123,#123,,Scyther,Bug,Flying
#124,#124,,Jynx,Ice,Psychic
#125,#125,,Electabuzz,Electric,
#126,#126,,Magmar,Fire,
#127,#127,,Pinsir,Bug,
#128,#128,,Tauros,Normal,
#129,#129,,Magikarp,Water,
#130,#130,,Gyarados,Water,Flying
#131,#131,,Lapras,Water,Ice
#132,#132,,Ditto,Normal,
#133,#133,,Eevee,Normal,
#134,#134,,Vaporeon,Water,
#135,#135,,Jolteon,Electric,
#136,#136,,Flareon,Fire,
#137,#137,,Porygon,Normal,
#138,#138,,Omanyte,Rock,Water
#139,#139,,Omastar,Rock,Water
#140,#140,,Kabuto,Rock,Water
#141,#141,,Kabutops,Rock,Water
#142,#142,,Aerodactyl,Rock,Flying
#143,#143,,Snorlax,Normal,
#144,#144,,Articuno,Ice,Flying
#145,#145,,Zapdos,Electric,Flying
#146,#146,,Moltres,Fire,Flying
#147,#147,,Dratini,Dragon,
#148,#148,,Dragonair,Dragon,
#149,#149,,Dragonite,Dragon,Flying
#150,#150,,Mewtwo,Psychic,
#151,#151,,Mew,Psychic,
#152,#808,,Meltan,Steel,
#153,#809,,Melmetal,Steel,
