Ndex,Menu Sprite,English,Hangul,Revised,McCune-Reischauer,Official
1,,Bulbasaur,이상해씨,Isanghaessi,Isanghaessi,Isanghessi
2,,Ivysaur,이상해풀,Isanghaepul,Isanghaep'ul,Isanghepul
3,,Venusaur,이상해꽃,Isanghaekkot,Isanghaekkot,Isanghekkot
4,,Charmander,파이리,Pairi,P'airi,Fairit
5,,Charmeleon,리자드,Rijadeu,Rijadŭ,Rizard
6,,Charizard,리자몽,Rijamong,Rijamong,Rizamon
7,,Squirtle,꼬부기,Kkobugi,Kkobugi,Kkobugi
8,,Wartortle,어니부기,Eonibugi,Ŏnibugi,Eonibugi
9,,Blastoise,거북왕,Geobugwang,Kŏbugwang,Geobugwang
10,,Caterpie,캐터피,Kaeteopi,K'aet'ŏp'i,Caterpie
11,,Metapod,단데기,Dandegi,Tandegi,Tandegi
12,,Butterfree,버터플,Beoteopeul,Pŏt'ŏp'ŭl,Butterfle
13,,Weedle,뿔충이,Ppulchungi,Ppulch'ungi,Ppulchungi
14,,Kakuna,딱충이,Ttakchungi,Ttakch'ungi,Ttakchungi
15,,Beedrill,독침붕,Dokchimbung,Tokch'imbung,Tokchimbung
16,,Pidgey,구구,Gugu,Kugu,Gugu
17,,Pidgeotto,피죤,Pijyon,P'ijyon,Pijon
18,,Pidgeot,피죤투,Pijyontu,P'ijyont'u,Pijontoo
19,,Rattata,꼬렛,Kkoret,Kkoret,Koret
20,,Raticate,레트라,Reteura,Ret'ŭra,Retra
21,,Spearow,깨비참,Kkaebicham,Kkaebich'am,Kebicham
22,,Fearow,깨비드릴조,Kkaebideuriljo,Kkaebidŭrilcho,Kebidrillzo
23,,Ekans,아보,Abo,Abo,Abo
24,,Arbok,아보크,Abokeu,Abok'ŭ,Abok
25,,Pikachu,피카츄,Pikachyu,P'ik'ach'yu,Pikachu
26,,Raichu,라이츄,Raichyu,Raich'yu,Raichu
27,,Sandshrew,모래두지,Moraeduji,Moraeduji,Moreduji
28,,Sandslash,고지,Goji,Koji,Koji
29,,Nidoran♀,니드런♀,Nideureonamkeot,Nidŭrŏnamk'ŏt,Nidoran♀
30,,Nidorina,니드리나,Nideurina,Nidŭrina,Nidorina
31,,Nidoqueen,니드퀸,Nideukwin,Nidŭk'win,Nidoqueen
32,,Nidoran♂,니드런♂,Nideureonsukeot,Nidŭrŏnsuk'ŏt,Nidoran♂
33,,Nidorino,니드리노,Nideurino,Nidŭrino,Nidorino
34,,Nidoking,니드킹,Nideuking,Nidŭk'ing,Nidoking
35,,Clefairy,삐삐,Ppippi,Ppippi,Ppippi
36,,Clefable,픽시,Piksi,P'iksi,Pixy
37,,Vulpix,식스테일,Sikseuteil,Siksŭt'eil,Sixtail
38,,Ninetales,나인테일,Nainteil,Naint'eil,Ninetail
39,,Jigglypuff,푸린,Purin,P'urin,Purin
40,,Wigglytuff,푸크린,Pukeurin,P'ukŭrin,Pukurin
41,,Zubat,주뱃,Jubaet,Chubaet,Zubat
42,,Golbat,골뱃,Golbaet,Kolbaet,Golbat
43,,Oddish,뚜벅쵸,Ttubeokchyo,Ttubŏkch'yo,Ttubeogcho
44,,Gloom,냄새꼬,Naemsaekko,Naemsaekko,Naemsaeko
45,,Vileplume,라플레시아,Rapeullesia,Rapŭllesia,Raplresia
46,,Paras,파라스,Paraseu,P'arasŭ,Paras
47,,Parasect,파라섹트,Parasekteu,Parasekt'ŭ,Parasect
48,,Venonat,콘팡,Konpang,K'onp'ang,Konpan
49,,Venomoth,도나리,Donari,Tonari,Donari
50,,Diglett,디그다,Digeuda,Tigŭda,Digda
51,,Dugtrio,닥트리오,Dakteurio,Takt'ŭrio,Daktrio
52,,Meowth,나옹,Naong,Naong,Naong
53,,Persian,페르시온,Pereusion,P'erŭsion,Persion
54,,Psyduck,고라파덕,Gorapadeok,Korap'adŏk,Gorapaduck
55,,Golduck,골덕,Goldeok,Koldŏk,Golduck
56,,Mankey,망키,Mangki,Mangk'i,Mankey
57,,Primeape,성원숭,Seongwonsung,Sŏngwŏnsung,Seongwonsung
58,,Growlithe,가디,Gadi,Kadi,Gadi
59,,Arcanine,윈디,Windi,Windi,Windi
60,,Poliwag,발챙이,Balchaengi,Palch'aengi,Balchengi
61,,Poliwhirl,슈륙챙이,Syuryukchaengi,Syuryukch'aengi,Shuryukchengi
62,,Poliwrath,강챙이,Gangchaengi,Kangch'aengi,Gangchaengi
63,,Abra,캐이시,Kaeisi,K'aeisi,Keisi
64,,Kadabra,윤겔라,Yungella,Yun'gella,Yunghelar
65,,Alakazam,후딘,Hudin,Hudin,Fudin
66,,Machop,알통몬,Altongmon,Alt'ongmon,Altongmon
67,,Machoke,근육몬,Geunyungmon,Kŭnyungmon,Geunyukmon
68,,Machamp,괴력몬,Goeryeongmon,Koeryŏngmon,Goeryeokmon
69,,Bellsprout,모다피,Modapi,Modap'i,Modapi
70,,Weepinbell,우츠동,Ucheudong,Uch'ŭdong,Uchudon
71,,Victreebel,우츠보트,Ucheuboteu,Uch'ŭbot'ŭ,Uchubot
72,,Tentacool,왕눈해,Wangnunhae,Wangnunhae,Wangnunhe
73,,Tentacruel,독파리,Dokpari,Tokp'ari,Tokpari
74,,Geodude,꼬마돌,Kkomadol,Kkomadol,Kkomadol
75,,Graveler,데구리,Deguri,Teguri,Deguri
76,,Golem,딱구리,Ttakguri,Ttakkuri,Ttakguri
77,,Ponyta,포니타,Ponita,P'onit'a,Ponyta
78,,Rapidash,날쌩마,Nalssaengma,Nalssaengma,Nalssengma
79,,Slowpoke,야돈,Yadon,Yadon,Yadon
80,,Slowbro,야도란,Yadoran,Yadoran,Yadonran
81,,Magnemite,코일,Koil,K'oil,Koil
82,,Magneton,레어코일,Reeokoil,Reŏk'oil,Rarekoil
83,,Farfetch'd,파오리,Paori,P'aori,Paori
84,,Doduo,두두,Dudu,Tudu,Dudu
85,,Dodrio,두트리오,Duteurio,Tut'ŭrio,Dutrio
86,,Seel,쥬쥬,Jyujyu,Chyujyu,Juju
87,,Dewgong,쥬레곤,Jyuregon,Chyuregon,Juregon
88,,Grimer,질퍽이,Jilpeogi,Chilp'ŏgi,Jilpeogi
89,,Muk,질뻐기,Jilppeogi,Chilppŏgi,Jilppeogi
90,,Shellder,셀러,Selleo,Sellŏ,Sellor
91,,Cloyster,파르셀,Pareusel,Parŭsel,Parsell
92,,Gastly,고오스,Gooseu,Koosŭ,Goohs
93,,Haunter,고우스트,Gouseuteu,Kousŭt'ŭ,Goust
94,,Gengar,팬텀,Paenteom,P'aent'ŏm,Penteom
95,,Onix,롱스톤,Rongseuton,Rongsŭt'on,Rongston
96,,Drowzee,슬리프,Seullipeu,Sŭllip'ŭ,Sllip
97,,Hypno,슬리퍼,Seullipeo,Sŭllip'ŏ,Slliper
98,,Krabby,크랩,Keuraep,K'ŭraep,Kreb
99,,Kingler,킹크랩,Kingkeuraep,K'ingk'ŭraep,Kingkreb
100,,Voltorb,찌리리공,Jjiririgong,Tchiririgong,Zzililigong
101,,Electrode,붐볼,Bumbol,Pumbol,Boomball
102,,Exeggcute,아라리,Arari,Arari,Arari
103,,Exeggutor,나시,Nasi,Nasi,Nasi
104,,Cubone,탕구리,Tangguri,T'angguri,Tangguri
105,,Marowak,텅구리,Teongguri,T'ŏngguri,Teongguri
106,,Hitmonlee,시라소몬,Sirasomon,Sirasomon,Sirasomon
107,,Hitmonchan,홍수몬,Hongsumon,Hongsumon,Hongsoomon
108,,Lickitung,내루미,Naerumi,Naerumi,Nerumi
109,,Koffing,또가스,Ttogaseu,Ttogasŭ,Ttogas
110,,Weezing,또도가스,Ttodogaseu,Ttodogasŭ,Ttodogas
111,,Rhyhorn,뿔카노,Ppulkano,Ppulk'ano,Ppulkano
112,,Rhydon,코뿌리,Koppuri,K'oppuri,Koppuri
113,,Chansey,럭키,Reokki,Rŏkk'i,Lucki
114,,Tangela,덩쿠리,Deongkuri,Tŏngkuri,Deongkuri
115,,Kangaskhan,캥카,Kaengka,K'aengk'a,Kengka
116,,Horsea,쏘드라,Ssodeura,Ssodŭra,Ssodra
117,,Seadra,시드라,Sideura,Sidŭra,Seadra
118,,Goldeen,콘치,Konchi,K'onch'i,Konchi
119,,Seaking,왕콘치,Wangkonchi,Wangk'onch'i,Wangkonchi
120,,Staryu,별가사리,Byeolgasari,Pyŏlgasari,Byulgasari
121,,Starmie,아쿠스타,Akuseuta,Ak'usŭt'a,Akusta
122,,Mr. Mime,마임맨,Maimmaen,Maimmaen,Maimman
123,,Scyther,스라크,Seurakeu,Sŭrak'ŭ,Srak
124,,Jynx,루주라,Rujura,Rujura,Rujura
