Sdex,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#001,#387,,Turtwig,Grass,
#002,#388,,Grotle,Grass,
#003,#389,,Torterra,Grass,Ground
#004,#390,,Chimchar,Fire,
#005,#391,,Monferno,Fire,Fighting
#006,#392,,Infernape,Fire,Fighting
#007,#393,,Piplup,Water,
#008,#394,,Prinplup,Water,
#009,#395,,Empoleon,Water,Steel
#010,#396,,Starly,Normal,Flying
#011,#397,,Staravia,Normal,Flying
#012,#398,,Staraptor,Normal,Flying
#013,#399,,Bidoof,Normal,
#014,#400,,Bibarel,Normal,Water
#015,#401,,Kricketot,Bug,
#016,#402,,Kricketune,Bug,
#017,#403,,Shinx,Electric,
#018,#404,,Luxio,Electric,
#019,#405,,Luxray,Electric,
#020,#063,,Abra,Psychic,
#021,#064,,Kadabra,Psychic,
#022,#065,,Alakazam,Psychic,
#023,#129,,Magikarp,Water,
#024,#130,,Gyarados,Water,Flying
#025,#406,,Budew,Grass,Poison
#026,#315,,Roselia,Grass,Poison
#027,#407,,Roserade,Grass,Poison
#028,#041,,Zubat,Poison,Flying
#029,#042,,Golbat,Poison,Flying
#030,#169,,Crobat,Poison,Flying
#031,#074,,Geodude,Rock,Ground
#032,#075,,Graveler,Rock,Ground
#033,#076,,Golem,Rock,Ground
#034,#095,,Onix,Rock,Ground
#035,#208,,Steelix,Steel,Ground
#036,#408,,Cranidos,Rock,
#037,#409,,Rampardos,Rock,
#038,#410,,Shieldon,Rock,Steel
#039,#411,,Bastiodon,Rock,Steel
#040,#066,,Machop,Fighting,
#041,#067,,Machoke,Fighting,
#042,#068,,Machamp,Fighting,
#043,#054,,Psyduck,Water,
#044,#055,,Golduck,Water,
#045,#412,,Burmy,Bug,
#045,#412,,Burmy,Bug,
#045,#412,,Burmy,Bug,
#046,#413,,Wormadam,Bug,Grass
#046,#413,,Wormadam,Bug,Ground
#046,#413,,Wormadam,Bug,Steel
#047,#414,,Mothim,Bug,Flying
#048,#265,,Wurmple,Bug,
#049,#266,,Silcoon,Bug,
#050,#267,,Beautifly,Bug,Flying
#051,#268,,Cascoon,Bug,
#052,#269,,Dustox,Bug,Poison
#053,#415,,Combee,Bug,Flying
#054,#416,,Vespiquen,Bug,Flying
