Udex,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#000,#494,,Victini,Psychic,Fire
#001,#495,,Snivy,Grass,
#002,#496,,Servine,Grass,
#003,#497,,Serperior,Grass,
#004,#498,,Tepig,Fire,
#005,#499,,Pignite,Fire,Fighting
#006,#500,,Emboar,Fire,Fighting
#007,#501,,Oshawott,Water,
#008,#502,,Dewott,Water,
#009,#503,,Samurott,Water,
#010,#504,,Patrat,Normal,
#011,#505,,Watchog,Normal,
#012,#509,,Purrloin,Dark,
#013,#510,,Liepard,Dark,
#014,#519,,Pidove,Normal,Flying
#015,#520,,Tranquill,Normal,Flying
#016,#521,,Unfezant,Normal,Flying
#016,#521,,Unfezant,Normal,Flying
#017,#540,,Sewaddle,Bug,Grass
#018,#541,,Swadloon,Bug,Grass
#019,#542,,Leavanny,Bug,Grass
#020,#191,,Sunkern,Grass,
#021,#192,,Sunflora,Grass,
#022,#506,,Lillipup,Normal,
#023,#507,,Herdier,Normal,
#024,#508,,Stoutland,Normal,
#025,#179,,Mareep,Electric,
#026,#180,,Flaaffy,Electric,
#027,#181,,Ampharos,Electric,
#028,#054,,Psyduck,Water,
#029,#055,,Golduck,Water,
#030,#298,,Azurill,Normal,
#031,#183,,Marill,Water,
#032,#184,,Azumarill,Water,
#033,#447,,Riolu,Fighting,
#034,#448,,Lucario,Fighting,Steel
#035,#206,,Dunsparce,Normal,
#036,#531,,Audino,Normal,
#037,#511,,Pansage,Grass,
#038,#512,,Simisage,Grass,
#039,#513,,Pansear,Fire,
#040,#514,,Simisear,Fire,
#041,#515,,Panpour,Water,
#042,#516,,Simipour,Water,
#043,#543,,Venipede,Bug,Poison
#044,#544,,Whirlipede,Bug,Poison
#045,#545,,Scolipede,Bug,Poison
#046,#109,,Koffing,Poison,
#047,#110,,Weezing,Poison,
#048,#081,,Magnemite,Electric,Steel
#049,#082,,Magneton,Electric,Steel
#050,#462,,Magnezone,Electric,Steel
#051,#058,,Growlithe,Fire,
#052,#059,,Arcanine,Fire,
#053,#240,,Magby,Fire,
#054,#126,,Magmar,Fire,
#055,#467,,Magmortar,Fire,
#056,#239,,Elekid,Electric,
#057,#125,,Electabuzz,Electric,
#058,#466,,Electivire,Electric,
#059,#019,,Rattata,Normal,
#060,#020,,Raticate,Normal,
#061,#041,,Zubat,Poison,Flying
#062,#042,,Golbat,Poison,Flying
#063,#169,,Crobat,Poison,Flying
#064,#088,,Grimer,Poison,
#065,#089,,Muk,Poison,
#066,#527,,Woobat,Psychic,Flying
#067,#528,,Swoobat,Psychic,Flying
#068,#524,,Roggenrola,Rock,
#069,#525,,Boldore,Rock,
#070,#526,,Gigalith,Rock,
#071,#095,,Onix,Rock,Ground
#072,#208,,Steelix,Steel,Ground
#073,#532,,Timburr,Fighting,
#074,#533,,Gurdurr,Fighting,
#075,#534,,Conkeldurr,Fighting,
#076,#529,,Drilbur,Ground,
#077,#530,,Excadrill,Ground,Steel
#078,#300,,Skitty,Normal,
#079,#301,,Delcatty,Normal,
#080,#427,,Buneary,Normal,
#081,#428,,Lopunny,Normal,
#082,#546,,Cottonee,Grass,
#083,#547,,Whimsicott,Grass,
#084,#548,,Petilil,Grass,
#085,#549,,Lilligant,Grass,
#086,#517,,Munna,Psychic,
#087,#518,,Musharna,Psychic,
#088,#173,,Cleffa,Normal,
#089,#035,,Clefairy,Normal,
#090,#036,,Clefable,Normal,
#091,#133,,Eevee,Normal,
#092,#134,,Vaporeon,Water,
#093,#135,,Jolteon,Electric,
#094,#136,,Flareon,Fire,
#095,#196,,Espeon,Psychic,
#096,#197,,Umbreon,Dark,
#097,#470,,Leafeon,Grass,
#098,#471,,Glaceon,Ice,
#099,#551,,Sandile,Ground,Dark
#100,#552,,Krokorok,Ground,Dark
#101,#553,,Krookodile,Ground,Dark
#102,#554,,Darumaka,Fire,
#103,#555,,Darmanitan,Fire,
#104,#550,,Basculin,Water,
#104,#550,,Basculin,Water,
#105,#568,,Trubbish,Poison,
#106,#569,,Garbodor,Poison,
#107,#572,,Minccino,Normal,
#108,#573,,Cinccino,Normal,
#109,#627,,Rufflet,Normal,Flying
#110,#628,,Braviary,Normal,Flying
#111,#629,,Vullaby,Dark,Flying
#112,#630,,Mandibuzz,Dark,Flying
#113,#027,,Sandshrew,Ground,
#114,#028,,Sandslash,Ground,
#115,#557,,Dwebble,Bug,Rock
#116,#558,,Crustle,Bug,Rock
#117,#559,,Scraggy,Dark,Fighting
#118,#560,,Scrafty,Dark,Fighting
#119,#556,,Maractus,Grass,
#120,#561,,Sigilyph,Psychic,Flying
#121,#328,,Trapinch,Ground,
#122,#329,,Vibrava,Ground,Dragon
#123,#330,,Flygon,Ground,Dragon
#124,#562,,Yamask,Ghost,
#125,#563,,Cofagrigus,Ghost,
#126,#564,,Tirtouga,Water,Rock
#127,#565,,Carracosta,Water,Rock
#128,#566,,Archen,Rock,Flying
#129,#567,,Archeops,Rock,Flying
