Udex,Ndex,Menu Sprite,Pokémon,Type 1,Type 2
#000,#494,,Victini,Psychic,Fire
#001,#495,,Snivy,Grass,
#002,#496,,Servine,Grass,
#003,#497,,Serperior,Grass,
#004,#498,,Tepig,Fire,
#005,#499,,Pignite,Fire,Fighting
#006,#500,,Emboar,Fire,Fighting
#007,#501,,Oshawott,Water,
#008,#502,,Dewott,Water,
#009,#503,,Samurott,Water,
#010,#504,,Patrat,Normal,
#011,#505,,Watchog,Normal,
#012,#506,,Lillipup,Normal,
#013,#507,,Herdier,Normal,
#014,#508,,Stoutland,Normal,
#015,#509,,Purrloin,Dark,
#016,#510,,Liepard,Dark,
#017,#511,,Pansage,Grass,
#018,#512,,Simisage,Grass,
#019,#513,,Pansear,Fire,
#020,#514,,Simisear,Fire,
#021,#515,,Panpour,Water,
#022,#516,,Simipour,Water,
#023,#517,,Munna,Psychic,
#024,#518,,Musharna,Psychic,
#025,#519,,Pidove,Normal,Flying
#026,#520,,Tranquill,Normal,Flying
#027,#521,,Unfezant,Normal,Flying
#027,#521,,Unfezant,Normal,Flying
#028,#522,,Blitzle,Electric,
#029,#523,,Zebstrika,Electric,
#030,#524,,Roggenrola,Rock,
#031,#525,,Boldore,Rock,
#032,#526,,Gigalith,Rock,
#033,#527,,Woobat,Psychic,Flying
#034,#528,,Swoobat,Psychic,Flying
#035,#529,,Drilbur,Ground,
#036,#530,,Excadrill,Ground,Steel
#037,#531,,Audino,Normal,
#038,#532,,Timburr,Fighting,
#039,#533,,Gurdurr,Fighting,
#040,#534,,Conkeldurr,Fighting,
#041,#535,,Tympole,Water,
#042,#536,,Palpitoad,Water,Ground
#043,#537,,Seismitoad,Water,Ground
#044,#538,,Throh,Fighting,
#045,#539,,Sawk,Fighting,
#046,#540,,Sewaddle,Bug,Grass
#047,#541,,Swadloon,Bug,Grass
#048,#542,,Leavanny,Bug,Grass
#049,#543,,Venipede,Bug,Poison
#050,#544,,Whirlipede,Bug,Poison
#051,#545,,Scolipede,Bug,Poison
#052,#546,,Cottonee,Grass,
#053,#547,,Whimsicott,Grass,
#054,#548,,Petilil,Grass,
#055,#549,,Lilligant,Grass,
#056,#550,,Basculin,Water,
#056,#550,,Basculin,Water,
#057,#551,,Sandile,Ground,Dark
#058,#552,,Krokorok,Ground,Dark
#059,#553,,Krookodile,Ground,Dark
#060,#554,,Darumaka,Fire,
#061,#555,,Darmanitan,Fire,
#062,#556,,Maractus,Grass,
#063,#557,,Dwebble,Bug,Rock
#064,#558,,Crustle,Bug,Rock
#065,#559,,Scraggy,Dark,Fighting
#066,#560,,Scrafty,Dark,Fighting
#067,#561,,Sigilyph,Psychic,Flying
#068,#562,,Yamask,Ghost,
#069,#563,,Cofagrigus,Ghost,
#070,#564,,Tirtouga,Water,Rock
#071,#565,,Carracosta,Water,Rock
#072,#566,,Archen,Rock,Flying
#073,#567,,Archeops,Rock,Flying
#074,#568,,Trubbish,Poison,
#075,#569,,Garbodor,Poison,
#076,#570,,Zorua,Dark,
#077,#571,,Zoroark,Dark,
#078,#572,,Minccino,Normal,
#079,#573,,Cinccino,Normal,
#080,#574,,Gothita,Psychic,
#081,#575,,Gothorita,Psychic,
#082,#576,,Gothitelle,Psychic,
#083,#577,,Solosis,Psychic,
#084,#578,,Duosion,Psychic,
#085,#579,,Reuniclus,Psychic,
#086,#580,,Ducklett,Water,Flying
#087,#581,,Swanna,Water,Flying
#088,#582,,Vanillite,Ice,
#089,#583,,Vanillish,Ice,
#090,#584,,Vanilluxe,Ice,
#091,#585,,Deerling,Normal,Grass
#092,#586,,Sawsbuck,Normal,Grass
#093,#587,,Emolga,Electric,Flying
#094,#588,,Karrablast,Bug,
#095,#589,,Escavalier,Bug,Steel
#096,#590,,Foongus,Grass,Poison
#097,#591,,Amoonguss,Grass,Poison
#098,#592,,Frillish,Water,Ghost
#098,#592,,Frillish,Water,Ghost
#099,#593,,Jellicent,Water,Ghost
#099,#593,,Jellicent,Water,Ghost
#100,#594,,Alomomola,Water,
#101,#595,,Joltik,Bug,Electric
#102,#596,,Galvantula,Bug,Electric
#103,#597,,Ferroseed,Grass,Steel
#104,#598,,Ferrothorn,Grass,Steel
#105,#599,,Klink,Steel,
#106,#600,,Klang,Steel,
#107,#601,,Klinklang,Steel,
#108,#602,,Tynamo,Electric,
#109,#603,,Eelektrik,Electric,
#110,#604,,Eelektross,Electric,
#111,#605,,Elgyem,Psychic,
#112,#606,,Beheeyem,Psychic,
#113,#607,,Litwick,Ghost,Fire
#114,#608,,Lampent,Ghost,Fire
#115,#609,,Chandelure,Ghost,Fire
#116,#610,,Axew,Dragon,
#117,#611,,Fraxure,Dragon,
#118,#612,,Haxorus,Dragon,
#119,#613,,Cubchoo,Ice,
#120,#614,,Beartic,Ice,
#121,#615,,Cryogonal,Ice,
#122,#616,,Shelmet,Bug,
#123,#617,,Accelgor,Bug,
#124,#618,,Stunfisk,Ground,Electric
