#,Menu Sprite,Pokémon,Ability 1,Ability 2,Hidden
1,,Bulbasaur,Overgrow,,Chlorophyll
2,,Ivysaur,Overgrow,,Chlorophyll
3,,Venusaur,Overgrow,,Chlorophyll
3,,Venusaur (Mega Venusaur),Thick Fat,,
4,,Charmander,Blaze,,Solar Power
5,,Charmeleon,Blaze,,Solar Power
6,,Charizard,Blaze,,Solar Power
6,,Charizard (Mega Charizard X),Tough Claws,,
6,,Charizard (Mega Charizard Y),Drought,,
7,,Squirtle,Torrent,,Rain Dish
8,,Wartortle,Torrent,,Rain Dish
9,,Blastoise,Torrent,,Rain Dish
9,,Blastoise (Mega Blastoise),Mega Launcher,,
10,,Caterpie,Shield Dust,,Run Away
11,,Metapod,Shed Skin,,
12,,Butterfree,Compound Eyes,,Tinted Lens
13,,Weedle,Shield Dust,,Run Away
14,,Kakuna,Shed Skin,,
15,,Beedrill,Swarm,,Sniper
15,,Beedrill (Mega Beedrill),Adaptability,,
16,,Pidgey,Keen Eye,Tangled Feet,Big Pecks
17,,Pidgeotto,Keen Eye,Tangled Feet,Big Pecks
18,,Pidgeot,Keen Eye,Tangled Feet,Big Pecks
18,,Pidgeot (Mega Pidgeot),No Guard,,
19,,Rattata,Run Away,Guts,Hustle
19,,Rattata (Alolan Rattata),Gluttony,Hustle,Thick Fat
20,,Raticate,Run Away,Guts,Hustle
20,,Raticate (Alolan Raticate),Gluttony,Hustle,Thick Fat
21,,Spearow,Keen Eye,,Sniper
22,,Fearow,Keen Eye,,Sniper
23,,Ekans,Intimidate,Shed Skin,Unnerve
24,,Arbok,Intimidate,Shed Skin,Unnerve
172,,Pichu,Static,,Lightning Rod
172,,Pichu (Spiky-eared Pichu),Static,,
25,,Pikachu,Static,,Lightning Rod
25,,Pikachu (Cosplay Pikachu),Lightning Rod,,
25,,Pikachu (Pikachu in a cap),Static,,
26,,Raichu,Static,,Lightning Rod
26,,Raichu (Alolan Raichu),Surge Surfer,,
27,,Sandshrew,Sand Veil,,Sand Rush
27,,Sandshrew (Alolan Sandshrew),Snow Cloak,,Slush Rush
28,,Sandslash,Sand Veil,,Sand Rush
28,,Sandslash (Alolan Sandslash),Snow Cloak,,Slush Rush
29,,Nidoran♀,Poison Point,Rivalry,Hustle
30,,Nidorina,Poison Point,Rivalry,Hustle
31,,Nidoqueen,Poison Point,Rivalry,Sheer Force
32,,Nidoran♂,Poison Point,Rivalry,Hustle
33,,Nidorino,Poison Point,Rivalry,Hustle
34,,Nidoking,Poison Point,Rivalry,Sheer Force
173,,Cleffa,Cute Charm,Magic Guard,Friend Guard
35,,Clefairy,Cute Charm,Magic Guard,Friend Guard
36,,Clefable,Cute Charm,Magic Guard,Unaware
37,,Vulpix,Flash Fire,,Drought
37,,Vulpix (Alolan Vulpix),Snow Cloak,,Snow Warning
38,,Ninetales,Flash Fire,,Drought
38,,Ninetales (Alolan Ninetales),Snow Cloak,,Snow Warning
174,,Igglybuff,Cute Charm,Competitive,Friend Guard
39,,Jigglypuff,Cute Charm,Competitive,Friend Guard
40,,Wigglytuff,Cute Charm,Competitive,Frisk
41,,Zubat,Inner Focus,,Infiltrator
42,,Golbat,Inner Focus,,Infiltrator
169,,Crobat,Inner Focus,,Infiltrator
43,,Oddish,Chlorophyll,,Run Away
44,,Gloom,Chlorophyll,,Stench
45,,Vileplume,Chlorophyll,,Effect Spore
182,,Bellossom,Chlorophyll,,Healer
46,,Paras,Effect Spore,Dry Skin,Damp
47,,Parasect,Effect Spore,Dry Skin,Damp
48,,Venonat,Compound Eyes,Tinted Lens,Run Away
49,,Venomoth,Shield Dust,Tinted Lens,Wonder Skin
50,,Diglett,Sand Veil,Arena Trap,Sand Force
