Menu Sprite,Pokémon,Color
,Charmander,Red
,Charmeleon,Red
,Charizard,Red
,Charizard,Red
,Vileplume,Red
,Paras,Red
,Parasect,Red
,Krabby,Red
,Kingler,Red
,Voltorb,Red
,Electrode,Red
,Goldeen,Red
,Seaking,Red
,Jynx,Red
,Magmar,Red
,Magikarp,Red
,Flareon,Red
,Moltres,Red
,Ledyba,Red
,Ledian,Red
,Ariados,Red
,Yanma,Red
,Scizor,Red
,Slugma,Red
,Magcargo,Red
,Octillery,Red
,Delibird,Red
,Porygon2,Red
,Magby,Red
,Ho-Oh,Red
,Torchic,Red
,Combusken,Red
,Blaziken,Red
,Wurmple,Red
,Medicham,Red
,Carvanha,Red
,Camerupt,Red
,Solrock,Red
,Corphish,Red
,Crawdaunt,Red
,Castform,Red
,Latias,Red
,Groudon,Red
,Deoxys,Red
,Kricketot,Red
,Kricketune,Red
,Burmy,Red
,Wormadam,Red
,Magmortar,Red
,Porygon-Z,Red
,Rotom,Red
,Tepig,Red
,Pignite,Red
,Emboar,Red
,Pansear,Red
,Simisear,Red
,Throh,Red
,Venipede,Red
,Scolipede,Red
,Krookodile,Red
,Darumaka,Red
,Darmanitan,Red
,Dwebble,Red
,Crustle,Red
,Scrafty,Red
,Deerling,Red
,Shelmet,Red
,Accelgor,Red
,Druddigon,Red
,Pawniard,Red
,Bisharp,Red
,Braviary,Red
,Heatmor,Red
,Fennekin,Red
,Braixen,Red
,Delphox,Red
,Fletchling,Red
,Fletchinder,Red
,Talonflame,Red
,Vivillon,Red
,Vivillon,Red
,Vivillon,Red
,Vivillon,Red
,Tyrantrum,Red
,Yveltal,Red
,Litten,Red
,Torracat,Red
,Incineroar,Red
,Oricorio,Red
,Lycanroc,Red
,Minior,Red
,Minior,Red
,Turtonator,Red
,Tapu Bulu,Red
,Buzzwole,Red
,Magearna,Red
,Orbeetle,Red
,Sizzlipede,Red
,Centiskorch,Red
,Zamazenta,Red
,Squirtle,Blue
,Wartortle,Blue
,Blastoise,Blue
,Sandslash,Blue
,Nidoran♀,Blue
,Nidorina,Blue
,Nidoqueen,Blue
,Ninetales,Blue
,Oddish,Blue
,Gloom,Blue
,Meowth,Blue
,Persian,Blue
,Golduck,Blue
,Poliwag,Blue
,Poliwhirl,Blue
,Poliwrath,Blue
,Tentacool,Blue
,Tentacruel,Blue
,Tangela,Blue
,Horsea,Blue
,Seadra,Blue
,Gyarados,Blue
,Lapras,Blue
,Vaporeon,Blue
,Omanyte,Blue
,Omastar,Blue
,Articuno,Blue
,Dratini,Blue
,Dragonair,Blue
,Totodile,Blue
,Croconaw,Blue
,Feraligatr,Blue
,Chinchou,Blue
,Lanturn,Blue
,Marill,Blue
,Azumarill,Blue
,Jumpluff,Blue
,Wooper,Blue
,Quagsire,Blue
,Wobbuffet,Blue
,Heracross,Blue
,Kingdra,Blue
,Phanpy,Blue
,Suicune,Blue
,Mudkip,Blue
,Marshtomp,Blue
,Swampert,Blue
,Taillow,Blue
,Swellow,Blue
,Surskit,Blue
,Masquerain,Blue
,Loudred,Blue
,Exploud,Blue
,Azurill,Blue
,Meditite,Blue
,Sharpedo,Blue
,Wailmer,Blue
,Wailord,Blue
,Swablu,Blue
,Altaria,Blue
,Whiscash,Blue
,Castform,Blue
,Chimecho,Blue
,Wynaut,Blue
,Spheal,Blue
,Sealeo,Blue
,Walrein,Blue
,Clamperl,Blue
,Huntail,Blue
,Bagon,Blue
,Salamence,Blue
,Beldum,Blue
,Metang,Blue
,Metagross,Blue
,Regice,Blue
,Latios,Blue
,Kyogre,Blue
,Piplup,Blue
,Prinplup,Blue
,Empoleon,Blue
,Shinx,Blue
,Luxio,Blue
,Luxray,Blue
,Cranidos,Blue
,Rampardos,Blue
,Shellos,Blue
,Gastrodon,Blue
,Gible,Blue
,Gabite,Blue
,Garchomp,Blue
,Riolu,Blue
,Lucario,Blue
,Croagunk,Blue
,Toxicroak,Blue
,Finneon,Blue
,Lumineon,Blue
,Mantyke,Blue
,Tangrowth,Blue
,Glaceon,Blue
,Azelf,Blue
,Phione,Blue
,Manaphy,Blue
,Oshawott,Blue
,Dewott,Blue
,Samurott,Blue
,Panpour,Blue
,Simipour,Blue
,Roggenrola,Blue
,Boldore,Blue
,Gigalith,Blue
,Woobat,Blue
,Swoobat,Blue
,Tympole,Blue
,Palpitoad,Blue
,Seismitoad,Blue
,Sawk,Blue
,Darmanitan,Blue
,Tirtouga,Blue
,Carracosta,Blue
,Ducklett,Blue
,Karrablast,Blue
,Eelektrik,Blue
,Eelektross,Blue
,Elgyem,Blue
,Cryogonal,Blue
,Deino,Blue
,Zweilous,Blue
,Hydreigon,Blue
,Cobalion,Blue
,Thundurus,Blue
,Froakie,Blue
,Frogadier,Blue
,Greninja,Blue
,Vivillon,Blue
,Vivillon,Blue
,Vivillon,Blue
,Meowstic,Blue
,Inkay,Blue
,Malamar,Blue
,Clauncher,Blue
,Clawitzer,Blue
,Amaura,Blue
,Aurorus,Blue
,Bergmite,Blue
,Avalugg,Blue
,Xerneas,Blue
,Popplio,Blue
,Brionne,Blue
,Primarina,Blue
,Vikavolt,Blue
,Wishiwashi,Blue
,Mareanie,Blue
,Toxapex,Blue
,Minior,Blue
,Minior,Blue
,Komala,Blue
,Cosmog,Blue
,Cosmoem,Blue
,Necrozma,Blue
,Sobble,Blue
,Drizzile,Blue
,Inteleon,Blue
,Rookidee,Blue
,Corvisquire,Blue
,Blipbug,Blue
,Cramorant,Blue
,Grapploct,Blue
,Alcremie,Blue
,Eiscue,Blue
,Arctozolt,Blue
,Arctovish,Blue
,Zacian,Blue
,Sneasler,Blue
,Kakuna,Yellow
,Beedrill,Yellow
,Pikachu,Yellow
,Raichu,Yellow
,Sandshrew,Yellow
,Sandslash,Yellow
,Ninetales,Yellow
,Meowth,Yellow
,Persian,Yellow
,Psyduck,Yellow
,Ponyta,Yellow
,Rapidash,Yellow
,Drowzee,Yellow
,Hypno,Yellow
,Exeggutor,Yellow
,Electabuzz,Yellow
,Jolteon,Yellow
,Zapdos,Yellow
,Moltres,Yellow
,Cyndaquil,Yellow
,Quilava,Yellow
,Typhlosion,Yellow
,Pichu,Yellow
,Ampharos,Yellow
,Sunkern,Yellow
,Sunflora,Yellow
,Girafarig,Yellow
,Dunsparce,Yellow
,Shuckle,Yellow
,Elekid,Yellow
,Raikou,Yellow
,Beautifly,Yellow
,Pelipper,Yellow
,Ninjask,Yellow
,Makuhita,Yellow
,Manectric,Yellow
,Plusle,Yellow
,Minun,Yellow
,Numel,Yellow
,Lunatone,Yellow
,Jirachi,Yellow
,Mothim,Yellow
,Combee,Yellow
,Vespiquen,Yellow
,Chingling,Yellow
,Electivire,Yellow
,Uxie,Yellow
,Cresselia,Yellow
,Victini,Yellow
,Sewaddle,Yellow
,Leavanny,Yellow
,Scraggy,Yellow
,Cofagrigus,Yellow
,Archen,Yellow
,Archeops,Yellow
,Joltik,Yellow
,Galvantula,Yellow
,Haxorus,Yellow
,Mienfoo,Yellow
,Keldeo,Yellow
,Vivillon,Yellow
,Helioptile,Yellow
,Heliolisk,Yellow
,Dedenne,Yellow
,Oricorio,Yellow
,Cutiefly,Yellow
,Ribombee,Yellow
,Minior,Yellow
,Mimikyu,Yellow
,Tapu Koko,Yellow
,Necrozma,Yellow
,Necrozma,Yellow
,Zeraora,Yellow
,Dottler,Yellow
,Yamper,Yellow
,Boltund,Yellow
,Alcremie,Yellow
,Alcremie,Yellow
,Alcremie,Yellow
,Falinks,Yellow
,Morpeko,Yellow
,Cufant,Yellow
,Regieleki,Yellow
,Bulbasaur,Green
,Ivysaur,Green
,Venusaur,Green
,Caterpie,Green
,Metapod,Green
,Bellsprout,Green
,Weepinbell,Green
,Victreebel,Green
,Grimer,Green
,Muk,Green
,Scyther,Green
,Chikorita,Green
,Bayleef,Green
,Meganium,Green
,Spinarak,Green
,Natu,Green
,Xatu,Green
,Bellossom,Green
,Politoed,Green
,Skiploom,Green
,Larvitar,Green
,Tyranitar,Green
,Celebi,Green
,Treecko,Green
,Grovyle,Green
,Sceptile,Green
,Dustox,Green
,Lotad,Green
,Lombre,Green
,Ludicolo,Green
,Breloom,Green
,Electrike,Green
,Roselia,Green
,Gulpin,Green
,Vibrava,Green
,Flygon,Green
,Cacnea,Green
,Cacturne,Green
,Cradily,Green
,Kecleon,Green
,Tropius,Green
,Rayquaza,Green
,Turtwig,Green
,Grotle,Green
,Torterra,Green
,Budew,Green
,Roserade,Green
,Burmy,Green
,Wormadam,Green
,Bronzor,Green
,Bronzong,Green
,Carnivine,Green
,Yanmega,Green
,Leafeon,Green
,Shaymin,Green
,Snivy,Green
,Servine,Green
,Serperior,Green
,Pansage,Green
,Simisage,Green
,Swadloon,Green
,Cottonee,Green
,Whimsicott,Green
,Petilil,Green
,Lilligant,Green
,Basculin,Green
,Maractus,Green
,Trubbish,Green
,Garbodor,Green
,Solosis,Green
,Duosion,Green
,Reuniclus,Green
,Deerling,Green
,Axew,Green
,Fraxure,Green
,Stunfisk,Green
,Golett,Green
,Golurk,Green
,Virizion,Green
,Tornadus,Green
,Chespin,Green
,Quilladin,Green
,Chesnaught,Green
,Vivillon,Green
,Vivillon,Green
,Vivillon,Green
,Hawlucha,Green
,Zygarde,Green
,Charjabug,Green
,Dewpider,Green
,Araquanid,Green
,Comfey,Green
,Minior,Green
,Dhelmise,Green
,Celesteela,Green
,Grookey,Green
,Thwackey,Green
,Rillaboom,Green
,Gossifleur,Green
,Eldegoss,Green
,Chewtle,Green
,Drednaw,Green
,Applin,Green
,Flapple,Green
,Appletun,Green
,Silicobra,Green
,Sandaconda,Green
,Alcremie,Green
,Copperajah,Green
,Dracozolt,Green
,Dracovish,Green
,Dreepy,Green
,Drakloak,Green
,Dragapult,Green
,Regidrago,Green
,Calyrex,Green
,Basculegion,Green
,Charizard,Black
,Rattata,Black
,Raticate,Black
,Snorlax,Black
,Umbreon,Black
,Murkrow,Black
,Unown,Black
,Qwilfish,Black
,Sneasel,Black
,Houndour,Black
,Houndoom,Black
,Mawile,Black
,Spoink,Black
,Seviper,Black
,Claydol,Black
,Shuppet,Black
,Banette,Black
,Duskull,Black
,Dusclops,Black
,Honchkrow,Black
,Chatot,Black
,Munchlax,Black
,Weavile,Black
,Dusknoir,Black
,Giratina,Black
,Darkrai,Black
,Blitzle,Black
,Zebstrika,Black
,Sigilyph,Black
,Yamask,Black
,Lampent,Black
,Chandelure,Black
,Zekrom,Black
,Scatterbug,Black
,Spewpa,Black
,Zygarde,Black
,Zygarde,Black
,Pikipek,Black
,Trumbeak,Black
,Toucannon,Black
,Salandit,Black
,Salazzle,Black
