#,Name,Difference,Male,Female
3,Venusaur,Female's flower has a seed in it,,
12,Butterfree,Female has black (purple in Generation V) spots on her lower wings,,
19,Rattata,Female has shorter whiskers,,
20,Raticate,Female has shorter whiskers,,
25,Pikachu,Female's tail ends in the upper half of a heart,,
26,Raichu,Female's tail lacks a point and is smaller,,
32; 29,Nidoran,"Female is light blue and male is purple. However, the evolutionary lines are separate",,
41,Zubat,Female has smaller fangs,,
42,Golbat,Female has smaller fangs,,
44,Gloom,Female has one large spot per bud,,
45,Vileplume,Female's petals have larger spots,,
64,Kadabra,Female has smaller whiskers,,
65,Alakazam,Female has smaller whiskers,,
84,Doduo,Male has black necks and female has beige necks,,
85,Dodrio,Male has black necks and female has beige necks,,
97,Hypno,Female has more collar fur,,
111,Rhyhorn,Male's horn is larger,,
112,Rhydon,Male's horn is larger,,
118,Goldeen,Male's horn is larger,,
119,Seaking,Male's horn is larger,,
123,Scyther,Female's abdomen is larger,,
129,Magikarp,Male has yellow whiskers and female has white whiskers,,
130,Gyarados,Male has blue whiskers and female has white whiskers,,
133,Eevee,"Unlike other Eevee, in Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, the partner Eevee has gender differences. Male partner Eevee look the same as all other Eevee, but female partner Eevee have a unique flower-shaped tail pattern. In Generation VIII, this gender difference was applied to all female Eevee.",,
154,Meganium,Male has longer antennae,,
165,Ledyba,Female has smaller antennae,,
166,Ledian,Female has smaller antennae,,
178,Xatu,Male has three body stripes,,
185,Sudowoodo,"Female's head ""branch"" is smaller",,
186,Politoed,Female has smaller cheeks,,
190,Aipom,Male has shorter head fur,,
194,Wooper,Female has one set of gill branches,,
195,Quagsire,Female has smaller dorsal fins,,
198,Murkrow,Female's hat-like plumage is smaller,,
202,Wobbuffet,Female's mouth has lipstick-like marking,,
203,Girafarig,Female's body has a larger yellow section,,
207,Gligar,Female has smaller stinger,,
208,Steelix,Female lacks an outer tooth on each side,,
212,Scizor,Female's abdomen is larger,,
214,Heracross,Female's horn is heart-shaped,,
215,Sneasel,Female's left ear is shorter,,
215,Hisuian Sneasel,Female's left ear is shorter,,
217,Ursaring,Female has longer shoulder fur,,
221,Piloswine,Female has shorter tusks,,
224,Octillery,Female has smaller suction cups,,
229,Houndoom,Female has shorter horns,,
232,Donphan,Female has shorter tusks,,
255,Torchic,Male has a black speck on his rear,,
256,Combusken,Female has smaller head feathers,,
257,Blaziken,Female's head crest is smaller,,
267,Beautifly,Male's red spots are larger,,
269,Dustox,Female has smaller antennae,,
272,Ludicolo,Male has thicker stripes,,
274,Nuzleaf,Female has smaller leaf,,
275,Shiftry,Female has smaller leaves,,
307,Meditite,Male's ears are higher than the female's,,
308,Medicham,Male has a larger bulb on his head,,
315,Roselia,Female's body leaf is longer,,
316,Gulpin,Female's feather is shorter,,
317,Swalot,Female has shorter whiskers,,
322,Numel,Female has larger hump,,
323,Camerupt,Female has larger humps,,
332,Cacturne,Female has a large spike on her chest where male has two normal ones,,
350,Milotic,Male's hair-like fins are shorter,,
369,Relicanth,Male has longer jaw guard,,
396,Starly,Female's head has less white,,
397,Staravia,Female's forehead spot is smaller,,
398,Staraptor,Female's forehead spot is smaller,,
399,Bidoof,Male has more tail curls,,
400,Bibarel,Male's face have two additional curls on beige mask,,
401,Kricketot,Female has larger collar,,
402,Kricketune,Female has smaller mustache,,
403,Shinx,Female has blue hind feet and a shorter mane,,
404,Luxio,Female has exposed ankles and a shorter mane,,
405,Luxray,Female's mane is smaller,,
407,Roserade,Female has longer cape,,
415,Combee,"Male's lower face has no red mark. However, only female Combee can evolve into Vespiquen",,
417,Pachirisu,Female's head stripe is shorter,,
418,Buizel,Male has two light-colored spots on his back while female has one,,
419,Floatzel,Male has two light-colored bumps on his back while female has one,,
424,Ambipom,Male has shorter hair on his head,,
443,Gible,Male has notched fin,,
444,Gabite,Male has notched fin,,
445,Garchomp,Male has notched fin,,
449,Hippopotas,Male and female's color patterns are inverted,,
450,Hippowdon,Male's body is light brown while female's is dark gray,,
453,Croagunk,"Female has higher ""bandages""",,
454,Toxicroak,Female's throat sac is smaller,,
456,Finneon,Female has larger tail fins,,
457,Lumineon,Female has larger fins,,
459,Snover,Female's midsection is white,,
460,Abomasnow,Female has longer chest fur,,
461,Weavile,Female has shorter ears,,
464,Rhyperior,Female has smaller upper horn,,
465,Tangrowth,Female's fingers are more magenta than blue,,
473,Mamoswine,Female has smaller tusks,,
521,Unfezant,Male has a pink mask with long extensions while the female has a curved feather on the back of her head. Male has a green underside and female has a brown underside.,,
592,Frillish,"Male is blue, frowns, and has a ruffled collar, smooth, diamond-patterned tentacles, and one upper eyelash per eye. Female is pink, smiles, and has a bulbous collar, frilled tentacles, and one lower eyelash per eye. Males have a star-shaped head pattern and a stiff crown while females have a flower-shaped pattern and a limp crown.",,
