Ndex,Menu Sprite,Pokémon,Type 1,Type 2,Habitat
#019,19,Rattata,Normal,,Grassland
#020,20,Raticate,Normal,,Grassland
#161,161,Sentret,Normal,,Grassland
#162,162,Furret,Normal,,Grassland
#263,263,Zigzagoon,Normal,,Grassland
#264,264,Linoone,Normal,,Grassland
#261,261,Poochyena,Dark,,Grassland
#262,262,Mightyena,Dark,,Grassland
#029,29,Nidoran♀,Poison,,Grassland
#030,30,Nidorina,Poison,,Grassland
#031,31,Nidoqueen,Poison,Ground,Grassland
#032,32,Nidoran♂,Poison,,Grassland
#033,33,Nidorino,Poison,,Grassland
#034,34,Nidoking,Poison,Ground,Grassland
#084,84,Doduo,Normal,Flying,Grassland
#085,85,Dodrio,Normal,Flying,Grassland
#276,276,Taillow,Normal,Flying,Grassland
#277,277,Swellow,Normal,Flying,Grassland
#114,114,Tangela,Grass,,Grassland
#315,315,Roselia,Grass,Poison,Grassland
#191,191,Sunkern,Grass,,Grassland
#192,192,Sunflora,Grass,,Grassland
#187,187,Hoppip,Grass,Flying,Grassland
#188,188,Skiploom,Grass,Flying,Grassland
#189,189,Jumpluff,Grass,Flying,Grassland
#043,43,Oddish,Grass,Poison,Grassland
#044,44,Gloom,Grass,Poison,Grassland
#045,45,Vileplume,Grass,Poison,Grassland
#182,182,Bellossom,Grass,,Grassland
#023,23,Ekans,Poison,,Grassland
#024,24,Arbok,Poison,,Grassland
#174,174,Igglybuff,Normal,,Grassland
#039,39,Jigglypuff,Normal,,Grassland
#040,40,Wigglytuff,Normal,,Grassland
#179,179,Mareep,Electric,,Grassland
#180,180,Flaaffy,Electric,,Grassland
#181,181,Ampharos,Electric,,Grassland
#083,83,Farfetch'd,Normal,Flying,Grassland
#108,108,Lickitung,Normal,,Grassland
#123,123,Scyther,Bug,Flying,Grassland
#212,212,Scizor,Bug,Steel,Grassland
#096,96,Drowzee,Psychic,,Grassland
#097,97,Hypno,Psychic,,Grassland
#316,316,Gulpin,Poison,,Grassland
#317,317,Swalot,Poison,,Grassland
#115,115,Kangaskhan,Normal,,Grassland
#203,203,Girafarig,Normal,Psychic,Grassland
#128,128,Tauros,Normal,,Grassland
#241,241,Miltank,Normal,,Grassland
#037,37,Vulpix,Fire,,Grassland
#038,38,Ninetales,Fire,,Grassland
#077,77,Ponyta,Fire,,Grassland
#078,78,Rapidash,Fire,,Grassland
#239,239,Elekid,Electric,,Grassland
#125,125,Electabuzz,Electric,,Grassland
#309,309,Electrike,Electric,,Grassland
#310,310,Manectric,Electric,,Grassland
#335,335,Zangoose,Normal,,Grassland
#336,336,Seviper,Poison,,Grassland
#311,311,Plusle,Electric,,Grassland
#312,312,Minun,Electric,,Grassland
#058,58,Growlithe,Fire,,Grassland
#059,59,Arcanine,Fire,,Grassland
#351,351,Castform,Normal,,Grassland
#358,358,Chimecho,Psychic,,Grassland
#001,1,Bulbasaur,Grass,Poison,Grassland
#002,2,Ivysaur,Grass,Poison,Grassland
#003,3,Venusaur,Grass,Poison,Grassland
#152,152,Chikorita,Grass,,Grassland
#153,153,Bayleef,Grass,,Grassland
#154,154,Meganium,Grass,,Grassland
#155,155,Cyndaquil,Fire,,Grassland
#156,156,Quilava,Fire,,Grassland
#157,157,Typhlosion,Fire,,Grassland
#255,255,Torchic,Fire,,Grassland
#256,256,Combusken,Fire,Fighting,Grassland
#257,257,Blaziken,Fire,Fighting,Grassland
#243,243,Raikou,Electric,,Grassland
#244,244,Entei,Fire,,Grassland
#245,245,Suicune,Water,,Grassland
#010,10,Caterpie,Bug,,Forest
#011,11,Metapod,Bug,,Forest
#012,12,Butterfree,Bug,Flying,Forest
#013,13,Weedle,Bug,Poison,Forest
#014,14,Kakuna,Bug,Poison,Forest
#015,15,Beedrill,Bug,Poison,Forest
#265,265,Wurmple,Bug,,Forest
#266,266,Silcoon,Bug,,Forest
#267,267,Beautifly,Bug,Flying,Forest
#268,268,Cascoon,Bug,,Forest
#269,269,Dustox,Bug,Poison,Forest
#016,16,Pidgey,Normal,Flying,Forest
#017,17,Pidgeotto,Normal,Flying,Forest
#018,18,Pidgeot,Normal,Flying,Forest
#163,163,Hoothoot,Normal,Flying,Forest
#164,164,Noctowl,Normal,Flying,Forest
#177,177,Natu,Psychic,Flying,Forest
#178,178,Xatu,Psychic,Flying,Forest
#172,172,Pichu,Electric,,Forest
#025,25,Pikachu,Electric,,Forest
#026,26,Raichu,Electric,,Forest
#069,69,Bellsprout,Grass,Poison,Forest
#070,70,Weepinbell,Grass,Poison,Forest
#071,71,Victreebel,Grass,Poison,Forest
#046,46,Paras,Bug,Grass,Forest
#047,47,Parasect,Bug,Grass,Forest
#285,285,Shroomish,Grass,,Forest
#286,286,Breloom,Grass,Fighting,Forest
#273,273,Seedot,Grass,,Forest
#274,274,Nuzleaf,Grass,Dark,Forest
#275,275,Shiftry,Grass,Dark,Forest
#048,48,Venonat,Bug,Poison,Forest
#049,49,Venomoth,Bug,Poison,Forest
#193,193,Yanma,Bug,Flying,Forest
#165,165,Ledyba,Bug,Flying,Forest
#166,166,Ledian,Bug,Flying,Forest
#167,167,Spinarak,Bug,Poison,Forest
#168,168,Ariados,Bug,Poison,Forest
#290,290,Nincada,Bug,Ground,Forest
#291,291,Ninjask,Bug,Flying,Forest
#292,292,Shedinja,Bug,Ghost,Forest
#313,313,Volbeat,Bug,,Forest
#314,314,Illumise,Bug,,Forest
#204,204,Pineco,Bug,,Forest
#205,205,Forretress,Bug,Steel,Forest
#287,287,Slakoth,Normal,,Forest
#288,288,Vigoroth,Normal,,Forest
#289,289,Slaking,Normal,,Forest
#300,300,Skitty,Normal,,Forest
#301,301,Delcatty,Normal,,Forest
#198,198,Murkrow,Dark,Flying,Forest
#215,215,Sneasel,Dark,Ice,Forest
#102,102,Exeggcute,Grass,Psychic,Forest
#103,103,Exeggutor,Grass,Psychic,Forest
#185,185,Sudowoodo,Rock,,Forest
#190,190,Aipom,Normal,,Forest
#234,234,Stantler,Normal,,Forest
#352,352,Kecleon,Normal,,Forest
#127,127,Pinsir,Bug,,Forest
#214,214,Heracross,Bug,Fighting,Forest
#333,333,Swablu,Normal,Flying,Forest
#334,334,Altaria,Dragon,Flying,Forest
#357,357,Tropius,Grass,Flying,Forest
#355,355,Duskull,Ghost,,Forest
#356,356,Dusclops,Ghost,,Forest
#175,175,Togepi,Normal,,Forest
#176,176,Togetic,Normal,Flying,Forest
#252,252,Treecko,Grass,,Forest
#253,253,Grovyle,Grass,,Forest
#254,254,Sceptile,Grass,,Forest
#251,251,Celebi,Psychic,Grass,Forest
#118,118,Goldeen,Water,,Water's Edge
#119,119,Seaking,Water,,Water's Edge
#129,129,Magikarp,Water,,Water's Edge
#130,130,Gyarados,Water,Flying,Water's Edge
#098,98,Krabby,Water,,Water's Edge
#099,99,Kingler,Water,,Water's Edge
#341,341,Corphish,Water,,Water's Edge
#342,342,Crawdaunt,Water,Dark,Water's Edge
#339,339,Barboach,Water,Ground,Water's Edge
#340,340,Whiscash,Water,Ground,Water's Edge
#270,270,Lotad,Water,Grass,Water's Edge
#271,271,Lombre,Water,Grass,Water's Edge
#272,272,Ludicolo,Water,Grass,Water's Edge
#283,283,Surskit,Bug,Water,Water's Edge
#284,284,Masquerain,Bug,Flying,Water's Edge
#054,54,Psyduck,Water,,Water's Edge
#055,55,Golduck,Water,,Water's Edge
#194,194,Wooper,Water,Ground,Water's Edge
#195,195,Quagsire,Water,Ground,Water's Edge
#060,60,Poliwag,Water,,Water's Edge
#061,61,Poliwhirl,Water,,Water's Edge
#062,62,Poliwrath,Water,Fighting,Water's Edge
#186,186,Politoed,Water,,Water's Edge
#298,298,Azurill,Normal,,Water's Edge
#183,183,Marill,Water,,Water's Edge
#184,184,Azumarill,Water,,Water's Edge
#079,79,Slowpoke,Water,Psychic,Water's Edge
#080,80,Slowbro,Water,Psychic,Water's Edge
#199,199,Slowking,Water,Psychic,Water's Edge
#349,349,Feebas,Water,,Water's Edge
#350,350,Milotic,Water,,Water's Edge
#347,347,Anorith,Rock,Bug,Water's Edge
#348,348,Armaldo,Rock,Bug,Water's Edge
#147,147,Dratini,Dragon,,Water's Edge
#148,148,Dragonair,Dragon,,Water's Edge
#149,149,Dragonite,Dragon,Flying,Water's Edge
#007,7,Squirtle,Water,,Water's Edge
#008,8,Wartortle,Water,,Water's Edge
#009,9,Blastoise,Water,,Water's Edge
#158,158,Totodile,Water,,Water's Edge
#159,159,Croconaw,Water,,Water's Edge
#160,160,Feraligatr,Water,,Water's Edge
#258,258,Mudkip,Water,,Water's Edge
#259,259,Marshtomp,Water,Ground,Water's Edge
#260,260,Swampert,Water,Ground,Water's Edge
#380,380,Latias,Dragon,Psychic,Water's Edge
#381,381,Latios,Dragon,Psychic,Water's Edge
#072,72,Tentacool,Water,Poison,Sea
#073,73,Tentacruel,Water,Poison,Sea
#278,278,Wingull,Water,Flying,Sea
#279,279,Pelipper,Water,Flying,Sea
#120,120,Staryu,Water,,Sea
#121,121,Starmie,Water,Psychic,Sea
#170,170,Chinchou,Water,Electric,Sea
#171,171,Lanturn,Water,Electric,Sea
#223,223,Remoraid,Water,,Sea
#224,224,Octillery,Water,,Sea
#090,90,Shellder,Water,,Sea
#091,91,Cloyster,Water,Ice,Sea
#366,366,Clamperl,Water,,Sea
#367,367,Huntail,Water,,Sea
#368,368,Gorebyss,Water,,Sea
#211,211,Qwilfish,Water,Poison,Sea
#222,222,Corsola,Water,Rock,Sea
#226,226,Mantine,Water,Flying,Sea
#370,370,Luvdisc,Water,,Sea
#086,86,Seel,Water,,Sea
#087,87,Dewgong,Water,Ice,Sea
#363,363,Spheal,Ice,Water,Sea
#364,364,Sealeo,Ice,Water,Sea
#365,365,Walrein,Ice,Water,Sea
