###,Menu Sprite,Pokémon,III-VII,VIII
1,,Bulbasaur,70,50
2,,Ivysaur,70,50
3,,Venusaur,70,50
4,,Charmander,70,50
5,,Charmeleon,70,50
6,,Charizard,70,50
7,,Squirtle,70,50
8,,Wartortle,70,50
9,,Blastoise,70,50
10,,Caterpie,70,50
11,,Metapod,70,50
12,,Butterfree,70,50
13,,Weedle,70,50
14,,Kakuna,70,50
15,,Beedrill,70,50
16,,Pidgey,70,50
17,,Pidgeotto,70,50
18,,Pidgeot,70,50
19,,Rattata,70,50
20,,Raticate,70,50
21,,Spearow,70,50
22,,Fearow,70,50
23,,Ekans,70,50
24,,Arbok,70,50
25,,Pikachu,70,50
26,,Raichu,70,50
27,,Sandshrew,70,50
28,,Sandslash,70,50
29,,Nidoran♀,70,50
30,,Nidorina,70,50
31,,Nidoqueen,70,50
32,,Nidoran♂,70,50
33,,Nidorino,70,50
34,,Nidoking,70,50
35,,Clefairy,140,140
36,,Clefable,140,140
37,,Vulpix,70,50
38,,Ninetales,70,50
39,,Jigglypuff,70,50
40,,Wigglytuff,70,50
41,,Zubat,70,50
42,,Golbat,70,50
43,,Oddish,70,50
44,,Gloom,70,50
45,,Vileplume,70,50
46,,Paras,70,50
47,,Parasect,70,50
48,,Venonat,70,50
49,,Venomoth,70,50
50,,Diglett,70,50
51,,Dugtrio,70,50
52,,Meowth,70,50
53,,Persian,70,50
54,,Psyduck,70,50
55,,Golduck,70,50
56,,Mankey,70,50
57,,Primeape,70,50
58,,Growlithe,70,50
59,,Arcanine,70,50
60,,Poliwag,70,50
61,,Poliwhirl,70,50
62,,Poliwrath,70,50
63,,Abra,70,50
64,,Kadabra,70,50
65,,Alakazam,70,50
66,,Machop,70,50
67,,Machoke,70,50
68,,Machamp,70,50
69,,Bellsprout,70,50
70,,Weepinbell,70,50
71,,Victreebel,70,50
72,,Tentacool,70,50
73,,Tentacruel,70,50
74,,Geodude,70,50
75,,Graveler,70,50
76,,Golem,70,50
77,,Ponyta,70,50
78,,Rapidash,70,50
79,,Slowpoke,70,50
80,,Slowbro,70,50
81,,Magnemite,70,50
82,,Magneton,70,50
83,,Farfetch'd,70,50
84,,Doduo,70,50
85,,Dodrio,70,50
86,,Seel,70,50
87,,Dewgong,70,50
88,,Grimer,70,50
89,,Muk,70,50
90,,Shellder,70,50
91,,Cloyster,70,50
92,,Gastly,70,50
93,,Haunter,70,50
94,,Gengar,70,50
95,,Onix,70,50
96,,Drowzee,70,50
97,,Hypno,70,50
98,,Krabby,70,50
99,,Kingler,70,50
100,,Voltorb,70,50
101,,Electrode,70,50
102,,Exeggcute,70,50
103,,Exeggutor,70,50
104,,Cubone,70,50
105,,Marowak,70,50
106,,Hitmonlee,70,50
107,,Hitmonchan,70,50
108,,Lickitung,70,50
109,,Koffing,70,50
110,,Weezing,70,50
111,,Rhyhorn,70,50
112,,Rhydon,70,50
113,,Chansey,140,140
114,,Tangela,70,50
115,,Kangaskhan,70,50
116,,Horsea,70,50
117,,Seadra,70,50
118,,Goldeen,70,50
119,,Seaking,70,50
120,,Staryu,70,50
121,,Starmie,70,50
122,,Mr. Mime,70,50
123,,Scyther,70,50
124,,Jynx,70,50
125,,Electabuzz,70,50
126,,Magmar,70,50
127,,Pinsir,70,50
128,,Tauros,70,50
129,,Magikarp,70,50
130,,Gyarados,70,50
131,,Lapras,70,50
132,,Ditto,70,50
133,,Eevee,70,50
134,,Vaporeon,70,50
135,,Jolteon,70,50
136,,Flareon,70,50
137,,Porygon,70,50
138,,Omanyte,70,50
139,,Omastar,70,50
140,,Kabuto,70,50
141,,Kabutops,70,50
142,,Aerodactyl,70,50
143,,Snorlax,70,50
144,,Articuno,35,35
145,,Zapdos,35,35
146,,Moltres,35,35
147,,Dratini,35,35
148,,Dragonair,35,35
149,,Dragonite,35,35
150,,Mewtwo,0,0
151,,Mew,100,100
152,,Chikorita,70,50
153,,Bayleef,70,50
154,,Meganium,70,50
155,,Cyndaquil,70,50
156,,Quilava,70,50
157,,Typhlosion,70,50
158,,Totodile,70,50
159,,Croconaw,70,50
160,,Feraligatr,70,50
161,,Sentret,70,50
162,,Furret,70,50
163,,Hoothoot,70,50
164,,Noctowl,70,50
165,,Ledyba,70,50
166,,Ledian,70,50
167,,Spinarak,70,50
168,,Ariados,70,50
169,,Crobat,70,50
170,,Chinchou,70,50
171,,Lanturn,70,50
172,,Pichu,70,50
173,,Cleffa,140,140
174,,Igglybuff,70,50
175,,Togepi,70,50
176,,Togetic,70,50
177,,Natu,70,50
178,,Xatu,70,50
179,,Mareep,70,50
180,,Flaaffy,70,50
181,,Ampharos,70,50
182,,Bellossom,70,50
183,,Marill,70,50
184,,Azumarill,70,50
185,,Sudowoodo,70,50
186,,Politoed,70,50
187,,Hoppip,70,50
188,,Skiploom,70,50
189,,Jumpluff,70,50
190,,Aipom,70,50
191,,Sunkern,70,50
192,,Sunflora,70,50
193,,Yanma,70,50
194,,Wooper,70,50
195,,Quagsire,70,50
196,,Espeon,70,50
197,,Umbreon,35,35
198,,Murkrow,35,35
199,,Slowking,70,50
200,,Misdreavus,35,35
201,,Unown,70,50
202,,Wobbuffet,70,50
203,,Girafarig,70,50
204,,Pineco,70,50
205,,Forretress,70,50
206,,Dunsparce,70,50
207,,Gligar,70,50
208,,Steelix,70,50
209,,Snubbull,70,50
210,,Granbull,70,50
211,,Qwilfish,70,50
212,,Scizor,70,50
213,,Shuckle,70,50
214,,Heracross,70,50
215,,Sneasel,35,35
216,,Teddiursa,70,50
217,,Ursaring,70,50
218,,Slugma,70,50
219,,Magcargo,70,50
220,,Swinub,70,50
221,,Piloswine,70,50
222,,Corsola,70,50
223,,Remoraid,70,50
224,,Octillery,70,50
225,,Delibird,70,50
226,,Mantine,70,50
227,,Skarmory,70,50
228,,Houndour,35,35
229,,Houndoom,35,35
230,,Kingdra,70,50
231,,Phanpy,70,50
232,,Donphan,70,50
233,,Porygon2,70,50
234,,Stantler,70,50
235,,Smeargle,70,50
236,,Tyrogue,70,50
237,,Hitmontop,70,50
238,,Smoochum,70,50
239,,Elekid,70,50
240,,Magby,70,50
241,,Miltank,70,50
242,,Blissey,140,140
243,,Raikou,35,35
244,,Entei,35,35
245,,Suicune,35,35
246,,Larvitar,35,35
247,,Pupitar,35,35
248,,Tyranitar,35,35
249,,Lugia,0,0
250,,Ho-Oh,0,0
251,,Celebi,100,100
252,,Treecko,70,50
253,,Grovyle,70,50
254,,Sceptile,70,50
255,,Torchic,70,50
256,,Combusken,70,50
257,,Blaziken,70,50
258,,Mudkip,70,50
259,,Marshtomp,70,50
260,,Swampert,70,50
261,,Poochyena,70,50
262,,Mightyena,70,50
263,,Zigzagoon,70,50
264,,Linoone,70,50
265,,Wurmple,70,50
266,,Silcoon,70,50
267,,Beautifly,70,50
268,,Cascoon,70,50
269,,Dustox,70,50
270,,Lotad,70,50
271,,Lombre,70,50
272,,Ludicolo,70,50
273,,Seedot,70,50
274,,Nuzleaf,70,50
275,,Shiftry,70,50
276,,Taillow,70,50
277,,Swellow,70,50
278,,Wingull,70,50
279,,Pelipper,70,50
280,,Ralts,35,35
281,,Kirlia,35,35
282,,Gardevoir,35,35
283,,Surskit,70,50
284,,Masquerain,70,50
285,,Shroomish,70,50
286,,Breloom,70,50
287,,Slakoth,70,50
288,,Vigoroth,70,50
289,,Slaking,70,50
290,,Nincada,70,50
291,,Ninjask,70,50
292,,Shedinja,70,50
293,,Whismur,70,50
294,,Loudred,70,50
295,,Exploud,70,50
296,,Makuhita,70,50
297,,Hariyama,70,50
298,,Azurill,70,50
299,,Nosepass,70,50
300,,Skitty,70,50
301,,Delcatty,70,50
302,,Sableye,35,35
303,,Mawile,70,50
304,,Aron,35,35
305,,Lairon,35,35
306,,Aggron,35,35
307,,Meditite,70,50
308,,Medicham,70,50
309,,Electrike,70,50
310,,Manectric,70,50
311,,Plusle,70,50
312,,Minun,70,50
313,,Volbeat,70,50
314,,Illumise,70,50
315,,Roselia,70,50
316,,Gulpin,70,50
317,,Swalot,70,50
