###,Menu Sprite,Pokémon,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Strengh Summary
3,,Venusaur,80,82,83,100,100,80,525,87.5,Weakling
3,,Venusaur (Mega Venusaur),80,100,123,122,120,80,625,104.17,Average Joe/Jane
6,,Charizard,78,84,78,109,85,100,534,89,Powerhouse
6,,Charizard (Mega Charizard X),78,130,111,130,85,100,634,105.67,
6,,Charizard (Mega Charizard Y),78,104,78,159,115,100,634,105.67,
9,,Blastoise,79,83,100,85,105,78,530,88.33,
9,,Blastoise (Mega Blastoise),79,103,120,135,115,78,630,105,
12,,Butterfree,60,45,50,90,80,70,395,65.83,
15,,Beedrill,65,90,40,45,80,75,395,65.83,
15,,Beedrill (Mega Beedrill),65,150,40,15,80,145,495,82.5,
18,,Pidgeot,83,80,75,70,70,101,479,79.83,
18,,Pidgeot (Mega Pidgeot),83,80,80,135,80,121,579,96.5,
20,,Raticate,55,81,60,50,70,97,413,68.83,
20,,Raticate (Alolan Raticate),75,71,70,40,80,77,413,68.83,
22,,Fearow,65,90,65,61,61,100,442,73.67,
24,,Arbok,60,95,69,65,79,80,448,74.67,
26,,Raichu,60,90,55,90,80,110,485,80.83,
26,,Raichu (Alolan Raichu),60,85,50,95,85,110,485,80.83,
28,,Sandslash,75,100,110,45,55,65,450,75,
28,,Sandslash (Alolan Sandslash),75,100,120,25,65,65,450,75,
31,,Nidoqueen,90,92,87,75,85,76,505,84.17,
34,,Nidoking,81,102,77,85,75,85,505,84.17,
36,,Clefable,95,70,73,95,90,60,483,80.5,
38,,Ninetales,73,76,75,81,100,100,505,84.17,
38,,Ninetales (Alolan Ninetales),73,67,75,81,100,109,505,84.17,
40,,Wigglytuff,140,70,45,85,50,45,435,72.5,
45,,Vileplume,75,80,85,110,90,50,490,81.67,
47,,Parasect,60,95,80,60,80,30,405,67.5,
49,,Venomoth,70,65,60,90,75,90,450,75,
51,,Dugtrio,35,100,50,50,70,120,425,70.83,
51,,Dugtrio (Alolan Dugtrio),35,100,60,50,70,110,425,70.83,
53,,Persian,65,70,60,65,65,115,440,73.33,
53,,Persian (Alolan Persian),65,60,60,75,65,115,440,73.33,
55,,Golduck,80,82,78,95,80,85,500,83.33,
57,,Primeape,65,105,60,60,70,95,455,75.83,
59,,Arcanine,90,110,80,100,80,95,555,92.5,
59,,Arcanine (Hisuian Arcanine),95,115,80,95,80,90,555,92.5,
62,,Poliwrath,90,95,95,70,90,70,510,85,
65,,Alakazam,55,50,45,135,95,120,500,83.33,
65,,Alakazam (Mega Alakazam),55,50,65,175,105,150,600,100,
68,,Machamp,90,130,80,65,85,55,505,84.17,
71,,Victreebel,80,105,65,100,70,70,490,81.67,
73,,Tentacruel,80,70,65,80,120,100,515,85.83,
76,,Golem,80,120,130,55,65,45,495,82.5,
76,,Golem (Alolan Golem),80,120,130,55,65,45,495,82.5,
78,,Rapidash,65,100,70,80,80,105,500,83.33,
78,,Rapidash (Galarian Rapidash),65,100,70,80,80,105,500,83.33,
80,,Slowbro,95,75,110,100,80,30,490,81.67,
80,,Slowbro (Galarian Slowbro),95,100,95,100,70,30,490,81.67,
