###,Menu Sprite,Pokémon,Egg Group 1,Egg Group 2,Cycles,Gen II,Gen III,Gen IV,Gen V-VI,Gen VII-VIII
1,,Bulbasaur,Monster,Grass,20,5120,5376,5355,5140,5120
2,,Ivysaur,Monster,Grass,20,5120,5376,5355,5140,5120
3,,Venusaur,Monster,Grass,20,5120,5376,5355,5140,5120
4,,Charmander,Monster,Dragon,20,5120,5376,5355,5140,5120
5,,Charmeleon,Monster,Dragon,20,5120,5376,5355,5140,5120
6,,Charizard,Monster,Dragon,20,5120,5376,5355,5140,5120
7,,Squirtle,Monster,Water 1,20,5120,5376,5355,5140,5120
8,,Wartortle,Monster,Water 1,20,5120,5376,5355,5140,5120
9,,Blastoise,Monster,Water 1,20,5120,5376,5355,5140,5120
10,,Caterpie,Bug,—,15,3840,4096,4080,3855,3840
11,,Metapod,Bug,—,15,3840,4096,4080,3855,3840
12,,Butterfree,Bug,—,15,3840,4096,4080,3855,3840
13,,Weedle,Bug,—,15,3840,4096,4080,3855,3840
14,,Kakuna,Bug,—,15,3840,4096,4080,3855,3840
15,,Beedrill,Bug,—,15,3840,4096,4080,3855,3840
16,,Pidgey,Flying,—,15,3840,4096,4080,3855,3840
17,,Pidgeotto,Flying,—,15,3840,4096,4080,3855,3840
18,,Pidgeot,Flying,—,15,3840,4096,4080,3855,3840
19,,Rattata,Field,—,15,3840,4096,4080,3855,3840
20,,Raticate,Field,—,15,3840,4096,4080,3855,3840
21,,Spearow,Flying,—,15,3840,4096,4080,3855,3840
22,,Fearow,Flying,—,15,3840,4096,4080,3855,3840
23,,Ekans,Field,Dragon,20,5120,5376,5355,5140,5120
24,,Arbok,Field,Dragon,20,5120,5376,5355,5140,5120
172,,Pichu,No Eggs Discovered,—,10,2560,2816,2805,2570,2560
25,,Pikachu,Field,Fairy,10,2560,2816,2805,2570,2560
26,,Raichu,Field,Fairy,10,2560,2816,2805,2570,2560
27,,Sandshrew,Field,—,20,5120,5376,5355,5140,5120
28,,Sandslash,Field,—,20,5120,5376,5355,5140,5120
29,,Nidoran♀,Monster,Field,20,5120,5376,5355,5140,5120
30,,Nidorina,No Eggs Discovered,—,20,5120,5376,5355,5140,5120
31,,Nidoqueen,No Eggs Discovered,—,20,5120,5376,5355,5140,5120
32,,Nidoran♂,Monster,Field,20,5120,5376,5355,5140,5120
33,,Nidorino,Monster,Field,20,5120,5376,5355,5140,5120
34,,Nidoking,Monster,Field,20,5120,5376,5355,5140,5120
173,,Cleffa,No Eggs Discovered,—,10,2560,2816,2805,2570,2560
35,,Clefairy,Fairy,—,10,2560,2816,2805,2570,2560
36,,Clefable,Fairy,—,10,2560,2816,2805,2570,2560
37,,Vulpix,Field,—,20,5120,5376,5355,5140,5120
38,,Ninetales,Field,—,20,5120,5376,5355,5140,5120
174,,Igglybuff,No Eggs Discovered,—,10,2560,2816,2805,2570,2560
39,,Jigglypuff,Fairy,—,10,2560,2816,2805,2570,2560
40,,Wigglytuff,Fairy,—,10,2560,2816,2805,2570,2560
41,,Zubat,Flying,—,15,3840,4096,4080,3855,3840
42,,Golbat,Flying,—,15,3840,4096,4080,3855,3840
169,,Crobat,Flying,—,15,3840,4096,4080,3855,3840
43,,Oddish,Grass,—,20,5120,5376,5355,5140,5120
44,,Gloom,Grass,—,20,5120,5376,5355,5140,5120
45,,Vileplume,Grass,—,20,5120,5376,5355,5140,5120
182,,Bellossom,Grass,—,20,5120,5376,5355,5140,5120
46,,Paras,Bug,Grass,20,5120,5376,5355,5140,5120
47,,Parasect,Bug,Grass,20,5120,5376,5355,5140,5120
48,,Venonat,Bug,—,20,5120,5376,5355,5140,5120
49,,Venomoth,Bug,—,20,5120,5376,5355,5140,5120
50,,Diglett,Field,—,20,5120,5376,5355,5140,5120
51,,Dugtrio,Field,—,20,5120,5376,5355,5140,5120
52,,Meowth,Field,—,20,5120,5376,5355,5140,5120
53,,Persian,Field,—,20,5120,5376,5355,5140,5120
863,,Perrserker,Field,—,20,—,—,—,—,5120
54,,Psyduck,Water 1,Field,20,5120,5376,5355,5140,5120
55,,Golduck,Water 1,Field,20,5120,5376,5355,5140,5120
56,,Mankey,Field,—,20,5120,5376,5355,5140,5120
57,,Primeape,Field,—,20,5120,5376,5355,5140,5120
58,,Growlithe,Field,—,20,5120,5376,5355,5140,5120
59,,Arcanine,Field,—,20,5120,5376,5355,5140,5120
60,,Poliwag,Water 1,—,20,5120,5376,5355,5140,5120
