###,Menu Sprite,Pokémon,Exp.,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total EVs
1,,Bulbasaur,64,0,0,0,1,0,0,1
2,,Ivysaur,141,0,0,0,1,1,0,2
3,,Venusaur,208,0,0,0,2,1,0,3
4,,Charmander,65,0,0,0,0,0,1,1
5,,Charmeleon,142,0,0,0,1,0,1,2
6,,Charizard,209,0,0,0,3,0,0,3
7,,Squirtle,66,0,0,1,0,0,0,1
8,,Wartortle,143,0,0,1,0,1,0,2
9,,Blastoise,210,0,0,0,0,3,0,3
10,,Caterpie,53,1,0,0,0,0,0,1
11,,Metapod,72,0,0,2,0,0,0,2
12,,Butterfree,160,0,0,0,2,1,0,3
13,,Weedle,52,0,0,0,0,0,1,1
14,,Kakuna,71,0,0,2,0,0,0,2
15,,Beedrill,159,0,2,0,0,1,0,3
16,,Pidgey,55,0,0,0,0,0,1,1
17,,Pidgeotto,113,0,0,0,0,0,2,2
18,,Pidgeot,172,0,0,0,0,0,3,3
19,,Rattata,57,0,0,0,0,0,1,1
20,,Raticate,116,0,0,0,0,0,2,2
21,,Spearow,58,0,0,0,0,0,1,1
22,,Fearow,162,0,0,0,0,0,2,2
23,,Ekans,62,0,1,0,0,0,0,1
24,,Arbok,147,0,2,0,0,0,0,2
25,,Pikachu,82,0,0,0,0,0,2,2
26,,Raichu,122,0,0,0,0,0,3,3
27,,Sandshrew,93,0,0,1,0,0,0,1
28,,Sandslash,163,0,0,2,0,0,0,2
29,,Nidoran♀,59,1,0,0,0,0,0,1
30,,Nidorina,117,2,0,0,0,0,0,2
31,,Nidoqueen,194,3,0,0,0,0,0,3
32,,Nidoran♂,60,0,1,0,0,0,0,1
33,,Nidorino,118,0,2,0,0,0,0,2
34,,Nidoking,195,0,3,0,0,0,0,3
35,,Clefairy,68,2,0,0,0,0,0,2
36,,Clefable,129,3,0,0,0,0,0,3
37,,Vulpix,63,0,0,0,0,0,1,1
38,,Ninetales,178,0,0,0,1,1,0,2
39,,Jigglypuff,76,2,0,0,0,0,0,2
40,,Wigglytuff,109,3,0,0,0,0,0,3
41,,Zubat,54,0,0,0,0,0,1,1
42,,Golbat,171,0,0,0,0,0,2,2
43,,Oddish,78,0,0,0,1,0,0,1
44,,Gloom,132,0,0,0,2,0,0,2
45,,Vileplume,184,0,0,0,3,0,0,3
46,,Paras,70,0,1,0,0,0,0,1
47,,Parasect,128,0,2,1,0,0,0,3
48,,Venonat,75,0,0,0,0,1,0,1
49,,Venomoth,138,0,0,0,1,0,1,2
50,,Diglett,81,0,0,0,0,0,1,1
51,,Dugtrio,153,0,0,0,0,0,2,2
52,,Meowth,69,0,0,0,0,0,1,1
53,,Persian,148,0,0,0,0,0,2,2
54,,Psyduck,80,0,0,0,1,0,0,1
55,,Golduck,174,0,0,0,2,0,0,2
56,,Mankey,74,0,1,0,0,0,0,1
57,,Primeape,149,0,2,0,0,0,0,2
58,,Growlithe,91,0,1,0,0,0,0,1
59,,Arcanine,213,0,2,0,0,0,0,2
60,,Poliwag,77,0,0,0,0,0,1,1
61,,Poliwhirl,131,0,0,0,0,0,2,2
62,,Poliwrath,185,0,0,3,0,0,0,3
63,,Abra,75,0,0,0,1,0,0,1
64,,Kadabra,145,0,0,0,2,0,0,2
65,,Alakazam,186,0,0,0,3,0,0,3
66,,Machop,75,0,1,0,0,0,0,1
67,,Machoke,146,0,2,0,0,0,0,2
68,,Machamp,193,0,3,0,0,0,0,3
69,,Bellsprout,84,0,1,0,0,0,0,1
70,,Weepinbell,151,0,2,0,0,0,0,2
71,,Victreebel,191,0,3,0,0,0,0,3
72,,Tentacool,105,0,0,0,0,1,0,1
73,,Tentacruel,205,0,0,0,0,2,0,2
74,,Geodude,73,0,0,1,0,0,0,1
75,,Graveler,134,0,0,2,0,0,0,2
76,,Golem,177,0,0,3,0,0,0,3
77,,Ponyta,152,0,0,0,0,0,1,1
78,,Rapidash,192,0,0,0,0,0,2,2
79,,Slowpoke,99,1,0,0,0,0,0,1
80,,Slowbro,164,0,0,2,0,0,0,2
81,,Magnemite,89,0,0,0,1,0,0,1
82,,Magneton,161,0,0,0,2,0,0,2
83,,Farfetch'd,94,0,1,0,0,0,0,1
84,,Doduo,96,0,1,0,0,0,0,1
85,,Dodrio,158,0,2,0,0,0,0,2
86,,Seel,100,0,0,0,0,1,0,1
87,,Dewgong,176,0,0,0,0,2,0,2
88,,Grimer,90,1,0,0,0,0,0,1
89,,Muk,157,1,1,0,0,0,0,2
90,,Shellder,97,0,0,1,0,0,0,1
91,,Cloyster,203,0,0,2,0,0,0,2
92,,Gastly,95,0,0,0,1,0,0,1
93,,Haunter,126,0,0,0,2,0,0,2
94,,Gengar,190,0,0,0,3,0,0,3
95,,Onix,108,0,0,1,0,0,0,1
96,,Drowzee,102,0,0,0,0,1,0,1
97,,Hypno,165,0,0,0,0,2,0,2
98,,Krabby,115,0,1,0,0,0,0,1
99,,Kingler,206,0,2,0,0,0,0,2
100,,Voltorb,103,0,0,0,0,0,1,1
101,,Electrode,150,0,0,0,0,0,2,2
102,,Exeggcute,98,0,0,1,0,0,0,1
103,,Exeggutor,212,0,0,0,2,0,0,2
104,,Cubone,87,0,0,1,0,0,0,1
105,,Marowak,124,0,0,2,0,0,0,2
106,,Hitmonlee,139,0,2,0,0,0,0,2
107,,Hitmonchan,140,0,0,0,0,2,0,2
108,,Lickitung,127,2,0,0,0,0,0,2
109,,Koffing,114,0,0,1,0,0,0,1
110,,Weezing,173,0,0,2,0,0,0,2
111,,Rhyhorn,135,0,0,1,0,0,0,1
112,,Rhydon,204,0,2,0,0,0,0,2
113,,Chansey,255,2,0,0,0,0,0,2
114,,Tangela,166,0,0,1,0,0,0,1
115,,Kangaskhan,175,2,0,0,0,0,0,2
116,,Horsea,83,0,0,0,1,0,0,1
117,,Seadra,155,0,0,1,1,0,0,2
118,,Goldeen,111,0,1,0,0,0,0,1
119,,Seaking,170,0,2,0,0,0,0,2
120,,Staryu,106,0,0,0,0,0,1,1
121,,Starmie,207,0,0,0,0,0,2,2
122,,Mr. Mime,136,0,0,0,0,2,0,2
123,,Scyther,187,0,1,0,0,0,0,1
124,,Jynx,137,0,0,0,2,0,0,2
125,,Electabuzz,156,0,0,0,0,0,2,2
126,,Magmar,167,0,0,0,2,0,0,2
127,,Pinsir,200,0,2,0,0,0,0,2
128,,Tauros,211,0,1,0,0,0,1,2
129,,Magikarp,20,0,0,0,0,0,1,1
130,,Gyarados,214,0,2,0,0,0,0,2
131,,Lapras,219,2,0,0,0,0,0,2
132,,Ditto,61,1,0,0,0,0,0,1
133,,Eevee,92,0,0,0,0,1,0,1
134,,Vaporeon,196,2,0,0,0,0,0,2
135,,Jolteon,197,0,0,0,0,0,2,2
136,,Flareon,198,0,2,0,0,0,0,2
137,,Porygon,130,0,0,0,1,0,0,1
138,,Omanyte,99,0,0,1,0,0,0,1
139,,Omastar,199,0,0,2,0,0,0,2
140,,Kabuto,99,0,0,1,0,0,0,1
141,,Kabutops,199,0,2,0,0,0,0,2
142,,Aerodactyl,202,0,0,0,0,0,2,2
143,,Snorlax,154,2,0,0,0,0,0,2
144,,Articuno,215,0,0,0,0,3,0,3
145,,Zapdos,216,0,0,0,3,0,0,3
146,,Moltres,217,0,0,0,3,0,0,3
147,,Dratini,67,0,1,0,0,0,0,1
148,,Dragonair,144,0,2,0,0,0,0,2
149,,Dragonite,218,0,3,0,0,0,0,3
150,,Mewtwo,220,0,0,0,3,0,0,3
151,,Mew,64,3,0,0,0,0,0,3
152,,Chikorita,64,0,0,0,0,1,0,1
153,,Bayleef,141,0,0,1,0,1,0,2
154,,Meganium,208,0,0,1,0,2,0,3
155,,Cyndaquil,65,0,0,0,0,0,1,1
156,,Quilava,142,0,0,0,1,0,1,2
157,,Typhlosion,209,0,0,0,3,0,0,3
158,,Totodile,66,0,1,0,0,0,0,1
159,,Croconaw,143,0,1,1,0,0,0,2
160,,Feraligatr,210,0,2,1,0,0,0,3
161,,Sentret,57,0,1,0,0,0,0,1
162,,Furret,116,0,0,0,0,0,2,2
163,,Hoothoot,58,1,0,0,0,0,0,1
164,,Noctowl,162,2,0,0,0,0,0,2
165,,Ledyba,54,0,0,0,0,1,0,1
166,,Ledian,134,0,0,0,0,2,0,2
167,,Spinarak,54,0,1,0,0,0,0,1
168,,Ariados,134,0,2,0,0,0,0,2
169,,Crobat,204,0,0,0,0,0,3,3
170,,Chinchou,90,1,0,0,0,0,0,1
171,,Lanturn,156,2,0,0,0,0,0,2
172,,Pichu,42,0,0,0,0,0,1,1
173,,Cleffa,37,0,0,0,0,1,0,1
174,,Igglybuff,39,1,0,0,0,0,0,1
175,,Togepi,74,0,0,0,0,1,0,1
176,,Togetic,114,0,0,0,0,2,0,2
177,,Natu,73,0,0,0,1,0,0,1
178,,Xatu,171,0,0,0,1,0,1,2
179,,Mareep,59,0,0,0,1,0,0,1
180,,Flaaffy,117,0,0,0,2,0,0,2
181,,Ampharos,194,0,0,0,3,0,0,3
182,,Bellossom,184,0,0,0,0,3,0,3
183,,Marill,58,2,0,0,0,0,0,2
184,,Azumarill,153,3,0,0,0,0,0,3
185,,Sudowoodo,135,0,0,2,0,0,0,2
186,,Politoed,185,0,0,0,0,3,0,3
187,,Hoppip,74,0,0,0,0,1,0,1
188,,Skiploom,136,0,0,0,0,0,2,2
189,,Jumpluff,176,0,0,0,0,0,3,3
190,,Aipom,94,0,0,0,0,0,1,1
191,,Sunkern,52,0,0,0,1,0,0,1
192,,Sunflora,146,0,0,0,2,0,0,2
