###,Menu Sprite,Pokémon,Type 1,Type 2,Score,Location
1,Bulbasaur,Bulbasaur,Grass,Poison,50,Field
2,Ivysaur,Ivysaur,Grass,Poison,80,Field
3,Venusaur,Venusaur,Grass,Poison,90,Field
4,Charmander,Charmander,Fire,,50,Field
5,Charmeleon,Charmeleon,Fire,,80,Field
6,Charizard,Charizard,Fire,Flying,90,Field
16,Pidgey,Pidgey,Normal,Flying,30,Field
17,Pidgeotto,Pidgeotto,Normal,Flying,50,Field
18,Pidgeot,Pidgeot,Normal,Flying,70,Field
19,Rattata,Rattata,Normal,,30,Field
20,Raticate,Raticate,Normal,,50,Field
21,Spearow,Spearow,Normal,Flying,30,Field
22,Fearow,Fearow,Normal,Flying,50,Field
29,Nidoran♀,Nidoran♀,Poison,,30,Field
30,Nidorina,Nidorina,Poison,,50,Field
31,Nidoqueen,Nidoqueen,Poison,Ground,70,Field
32,Nidoran♂,Nidoran♂,Poison,,30,Field
33,Nidorino,Nidorino,Poison,,50,Field
34,Nidoking,Nidoking,Poison,Ground,70,Field
37,Vulpix,Vulpix,Fire,,70,Field
38,Ninetales,Ninetales,Fire,,80,Field
39,Jigglypuff,Jigglypuff,Normal,,80,Field
40,Wigglytuff,Wigglytuff,Normal,,90,Field
52,Meowth,Meowth,Normal,,50,Field
53,Persian,Persian,Normal,,70,Field
58,Growlithe,Growlithe,Fire,,70,Field
59,Arcanine,Arcanine,Fire,,80,Field
63,Abra,Abra,Psychic,,50,Field
64,Kadabra,Kadabra,Psychic,,80,Field
65,Alakazam,Alakazam,Psychic,,90,Field
77,Ponyta,Ponyta,Fire,,50,Field
78,Rapidash,Rapidash,Fire,,70,Field
83,Farfetch’d,Farfetch’d,Normal,Flying,70,Field
84,Doduo,Doduo,Normal,Flying,50,Field
85,Dodrio,Dodrio,Normal,Flying,70,Field
88,Grimer,Grimer,Poison,,50,Field
89,Muk,Muk,Poison,,70,Field
100,Voltorb,Voltorb,Electric,,50,Field
101,Electrode,Electrode,Electric,,70,Field
108,Lickitung,Lickitung,Normal,,70,Field
113,Chansey,Chansey,Normal,,90,Field
115,Kangaskhan,Kangaskhan,Normal,,70,Field
122,Mr. Mime,Mr. Mime,Psychic,,70,Field
123,Scyther,Scyther,Bug,Flying,70,Field
124,Jynx,Jynx,Ice,Psychic,70,Field
128,Tauros,Tauros,Normal,,70,Field
132,Ditto,Ditto,Normal,,70,Field
133,Eevee,Eevee,Normal,,90,Field
134,Vaporeon,Vaporeon,Water,,90,Field
135,Jolteon,Jolteon,Electric,,90,Field
136,Flareon,Flareon,Fire,,90,Field
137,Porygon,Porygon,Normal,,80,Field
143,Snorlax,Snorlax,Normal,,80,Field
150,Mewtwo,Mewtwo,Psychic,,90,Field
152,Chikorita,Chikorita,Grass,,50,Field
153,Bayleef,Bayleef,Grass,,80,Field
154,Meganium,Meganium,Grass,,90,Field
155,Cyndaquil,Cyndaquil,Fire,,50,Field
156,Quilava,Quilava,Fire,,80,Field
157,Typhlosion,Typhlosion,Fire,,90,Field
161,Sentret,Sentret,Normal,,30,Field
162,Furret,Furret,Normal,,50,Field
165,Ledyba,Ledyba,Bug,Flying,30,Field
166,Ledian,Ledian,Bug,Flying,50,Field
167,Spinarak,Spinarak,Bug,Poison,30,Field
168,Ariados,Ariados,Bug,Poison,50,Field
172,Pichu,Pichu,Electric,,80,Field
173,Cleffa,Cleffa,Normal,,80,Field
174,Igglybuff,Igglybuff,Normal,,80,Field
175,Togepi,Togepi,Normal,,80,Field
176,Togetic,Togetic,Normal,Flying,90,Field
179,Mareep,Mareep,Electric,,50,Field
180,Flaaffy,Flaaffy,Electric,,70,Field
181,Ampharos,Ampharos,Electric,,80,Field
187,Hoppip,Hoppip,Grass,Flying,50,Field
188,Skiploom,Skiploom,Grass,Flying,70,Field
189,Jumpluff,Jumpluff,Grass,Flying,80,Field
191,Sunkern,Sunkern,Grass,,50,Field
192,Sunflora,Sunflora,Grass,,70,Field
193,Yanma,Yanma,Bug,Flying,80,Field
196,Espeon,Espeon,Psychic,,90,Field
197,Umbreon,Umbreon,Dark,,90,Field
202,Wobbuffet,Wobbuffet,Psychic,,80,Field
