###,Menu Sprite,Pokémon,Gender,Group,Area Found,Unlock Method,Level,Number of steps,Rarity,Item Held
84,,Doduo,♀,A,Refreshing Field,Default,8,2000+ steps,Very Common,None
115,,Kangaskhan,♀,A,Refreshing Field,Default,8,3000+ steps,Common,None
29,,Nidoran♀,♀,B,Refreshing Field,Default,5,500+ steps,Very Common,None
32,,Nidoran♂,♂,B,Refreshing Field,Default,5,500+ steps,Very Common,None
16,,Pidgey,♂,C,Refreshing Field,Default,5,0+ steps,Very Common,None
161,,Sentret,♀,C,Refreshing Field,Default,5,0+ steps,Very Common,None
202,,Wobbuffet,♀,A,Noisy Forest,Default,15,4000+ steps,Rare,None
69,,Bellsprout,♀,A,Noisy Forest,Default,8,3000+ steps,Very Common,None
46,,Paras,♀,B,Noisy Forest,Default,6,700+ steps,Very Common,None
48,,Venonat,♂,B,Noisy Forest,Default,6,700+ steps,Very Common,None
21,,Spearow,♂,C,Noisy Forest,Default,5,0+ steps,Very Common,None
43,,Oddish,♀,C,Noisy Forest,Default,5,0+ steps,Very Common,None
95,,Onix,♂,A,Rugged Road,50 watts,9,4000+ steps,Very Common,None
240,,Magby,♂,A,Rugged Road,50 watts,9,5000+ steps,Common,None
66,,Machop,♀,B,Rugged Road,50 watts,7,1000+ steps,Very Common,None
77,,Ponyta,♀,B,Rugged Road,50 watts,7,1000+ steps,Very Common,None
74,,Geodude,♀,C,Rugged Road,50 watts,8,0+ steps,Very Common,None
163,,Hoothoot,♀,C,Rugged Road,50 watts,6,0+ steps,Very Common,None
54,,Psyduck,♀,A,Beautiful Beach,200 watts,10,4000+ steps,Very Common,None
120,,Staryu,-,A,Beautiful Beach,200 watts,10,5000+ steps,Very Common,None
60,,Poliwag,♂,B,Beautiful Beach,200 watts,8,1500+ steps,Very Common,None
79,,Slowpoke,♂,B,Beautiful Beach,200 watts,8,1000+ steps,Very Common,None
191,,Sunkern,♀,C,Beautiful Beach,200 watts,6,0+ steps,Very Common,None
194,,Wooper,♂,C,Beautiful Beach,200 watts,6,0+ steps,Very Common,None
81,,Magnemite,-,A,Suburban Area,500 watts,11,4000+ steps,Common,None
239,,Elekid,♂,A,Suburban Area,500 watts,11,5000+ steps,Very Rare,None
81,,Magnemite,-,B,Suburban Area,500 watts,8,1000+ steps,Very Common,None
198,,Murkrow,♀,B,Suburban Area,500 watts,11,1000+ steps,Common,None
