Pokémon,Color
Abomasnow,Yellow
Abra,Orange
Absol,Black
Accelgor,Blue
Aegislash,Blue
Aerodactyl,Blue
Aggron,Green
Aipom,Black
Alakazam,Orange
Alomomola,Black
Altaria,Blue
Amaura,Blue
Ambipom,Black
Amoonguss,Yellow
Ampharos,Orange
Anorith,Green
Arbok,Yellow
Arcanine,Orange
Arceus,Black
Archen,Blue
Archeops,Blue
Ariados,Yellow
Armaldo,Green
Aromatisse,Orange
Aron,Green
Articuno,Orange
Audino,Black
Aurorus,Blue
Avalugg,Green
Axew,Orange
Azelf,Black
Azumarill,Orange
Azurill,Orange
Bagon,Black
Baltoy,Yellow
Banette,Orange
Barbaracle,Green
Barboach,Green
Basculin,Black
Bastiodon,Green
Bayleef,Blue
Beartic,Black
Beautifly,Blue
Beedrill,Yellow
Beheeyem,Yellow
Beldum,Black
Bellossom,Yellow
Bellsprout,Yellow
Bergmite,Green
Bibarel,Black
Bidoof,Black
Binacle,Green
Bisharp,Orange
Blastoise,Green
Blaziken,Black
Blissey,Black
Blitzle,Black
Boldore,Green
Bonsly,Green
Bouffalant,Black
Braixen,Orange
Braviary,Blue
Breloom,Black
Bronzong,Orange
Bronzor,Orange
Budew,Yellow
Buizel,Orange
Bulbasaur,Yellow
Buneary,Black
Bunnelby,Black
Burmy (Plant Cloak),Yellow
Burmy (Sandy Cloak),Green
Burmy (Trash Cloak),Orange
Butterfree,Orange
Cacnea,Yellow
Cacturne,Yellow
Camerupt,Orange
Carbink,Yellow
Carnivine,Blue
Carracosta,Orange
Carvanha,Green
Cascoon,Black
Castform,Black
Caterpie,Black
Celebi,Yellow
Chandelure,Green
Chansey,Black
Charizard,Orange
Charmander,Orange
Charmeleon,Orange
Chatot,Blue
Cherrim,Yellow
Cherubi,Yellow
Chesnaught,Green
Chespin,Green
Chikorita,Blue
Chimchar,Yellow
Chimecho,Orange
Chinchou,Blue
Chingling,Orange
Cinccino,Yellow
Clamperl,Black
Clauncher,Blue
Clawitzer,Blue
Claydol,Yellow
Clefable,Black
Clefairy,Black
Cleffa,Black
Cloyster,Yellow
Cobalion,Blue
Cofagrigus,Black
Combee,Yellow
Combusken,Black
Conkeldurr,Green
Corphish,Orange
Corsola,Orange
Cottonee,Yellow
Cradily,Yellow
Cranidos,Black
Crawdaunt,Orange
Cresselia,Blue
Croagunk,Yellow
Crobat,Blue
Croconaw,Green
Crustle,Green
Cryogonal,Blue
Cubchoo,Black
Cubone,Blue
Cyndaquil,Yellow
Darkrai,Orange
Darmanitan,Green
Darumaka,Green
Dedenne,Yellow
Deerling,Yellow
Deino,Black
Delcatty,Black
Delibird,Blue
Delphox,Orange
Deoxys (Attack Form),Green
Deoxys (Defense Form),Orange
Deoxys (Normal Forme),Black
Deoxys (Speed Form),Blue
Dewgong,Black
Dewott,Blue
Dialga,Yellow
Diancie,Yellow
Diggersby,Green
Diglett,Green
Ditto,Black
Dodrio,Yellow
Doduo,Yellow
Donphan,Green
Doublade,Blue
Dragalge,Yellow
Dragonair,Blue
Dragonite,Green
Drapion,Yellow
Dratini,Black
Drifblim,Orange
Drifloon,Orange
Drilbur,Green
Drowzee,Black
Druddigon,Green
Ducklett,Blue
Dugtrio,Green
Dunsparce,Black
Duosion,Orange
Durant,Yellow
Dusclops,Orange
Dusknoir,Orange
Duskull,Orange
Dustox,Orange
Dwebble,Green
Eelektrik,Yellow
Eelektross,Yellow
Eevee,Black
Ekans,Yellow
Electabuzz,Blue
Electivire,Blue
Electrike,Blue
Electrode,Blue
Elekid,Blue
Elgyem,Yellow
Emboar,Green
Emolga,Yellow
Empoleon,Blue
Entei,Green
Escavalier,Green
Espeon,Orange
Espurr,Yellow
Excadrill,Green
Exeggcute,Yellow
Exeggutor,Yellow
Exploud,Orange
Farfetch'd,Blue
Fearow,Blue
Feebas,Black
Fennekin,Orange
Feraligatr,Green
Ferroseed,Yellow
Ferrothorn,Yellow
Finneon,Blue
Flaaffy,Orange
Flabébé,Yellow
Flareon,Green
Fletchinder,Blue
Fletchling,Blue
Floatzel,Orange
Floette,Yellow
Florges,Yellow
Flygon,Blue
Foongus,Yellow
Forretress,Yellow
Fraxure,Orange
Frillish,Orange
Froakie,Blue
Frogadier,Blue
Froslass,Yellow
Furfrou,Orange
Furret,Black
Gabite,Green
Gallade,Orange
Galvantula,Blue
Garbodor,Yellow
Garchomp,Green
Gardevoir,Blue
Gastly,Orange
Gastrodon,Green
Genesect (Burn Drive),Green
Genesect (Chill Drive),Orange
Genesect (Douse Drive),Blue
Genesect (No Drive),Black
Genesect (Shock Drive),Yellow
Gengar,Orange
Geodude,Green
Gible,Green
Gigalith,Green
Girafarig,Orange
Giratina (Altered Forme),Black
Giratina (Origin Forme),Orange
Glaceon,Blue
Glalie,Yellow
Glameow,Black
Gligar,Yellow
Gliscor,Yellow
Gloom,Yellow
Gogoat,Orange
Golbat,Blue
Goldeen,Black
Golduck,Orange
Golem,Green
Golett,Green
Golurk,Green
Goodra,Black
Goomy,Black
Gorebyss,Orange
Gothita,Blue
Gothitelle,Blue
Gothorita,Blue
Gourgeist,Yellow
Granbull,Black
Graveler,Green
Greninja,Blue
Grimer,Green
Grotle,Green
Groudon,Green
Grovyle,Blue
Growlithe,Orange
Grumpig,Black
Gulpin,Yellow
Gurdurr,Green
Gyarados,Green
Happiny,Black
Hariyama,Green
Haunter,Orange
Hawlucha,Blue
Haxorus,Orange
Heatmor,Green
Heatran,Green
Heliolisk,Yellow
Helioptile,Yellow
Heracross,Green
Herdier,Orange
Hippopotas,Green
Hippowdon,Green
Hitmonchan,Green
Hitmonlee,Black
Hitmontop,Black
Ho-Oh,Orange
Honchkrow,Blue
Honedge,Blue
Hoopa,Orange
Hoopa (Hoopa Unbound),Green
Hoothoot,Orange
Hoppip,Yellow
Horsea,Blue
Houndoom,Orange
Houndour,Orange
Huntail,Green
Hydreigon,Yellow
Hypno,Black
Igglybuff,Black
Illumise,Yellow
Infernape,Yellow
Inkay,Orange
Ivysaur,Yellow
Jellicent,Orange
Jigglypuff,Black
Jirachi,Yellow
Jolteon,Blue
Joltik,Blue
Jumpluff,Yellow
Jynx,Orange
Kabuto,Green
Kabutops,Green
Kadabra,Orange
Kakuna,Black
Kangaskhan,Green
Karrablast,Green
Kecleon,Black
Keldeo,Black
Kingdra,Blue
Kingler,Green
Kirlia,Blue
Klang,Green
Klefki,Orange
Klink,Green
Klinklang,Green
Koffing,Orange
Krabby,Green
Kricketot,Yellow
Kricketune,Yellow
Krokorok,Green
Krookodile,Green
Kyogre,Orange
Kyurem,Black
Kyurem (Black Kyurem),Green
Kyurem (White Kyurem),Orange
Lairon,Green
Lampent,Green
Landorus (Incarnate Forme),Black
Landorus (Therian Forme),Green
Lanturn,Blue
Lapras,Orange
Larvesta,Black
Larvitar,Black
Latias,Blue
Latios,Blue
Leafeon,Yellow
Leavanny,Yellow
Ledian,Yellow
Ledyba,Yellow
Lickilicky,Black
Lickitung,Black
Liepard,Black
Lileep,Yellow
Lilligant,Blue
Lillipup,Orange
Linoone,Black
Litleo,Green
Litwick,Green
Lombre,Orange
Lopunny,Black
Lotad,Orange
Loudred,Orange
Lucario,Orange
Ludicolo,Orange
Lugia,Blue
Lumineon,Blue
Lunatone,Black
Luvdisc,Blue
Luxio,Orange
Luxray,Orange
Machamp,Green
Machoke,Green
Machop,Green
Magby,Green
Magcargo,Orange
Magikarp,Black
Magmar,Green
Magmortar,Green
Magnemite,Orange
Magneton,Orange
Magnezone,Orange
Makuhita,Green
Malamar,Orange
Mamoswine,Green
Manaphy,Black
Mandibuzz,Orange
Manectric,Blue
Mankey,Green
Mantine,Orange
Mantyke,Orange
Maractus,Yellow
Mareep,Orange
Marill,Orange
Marowak,Blue
Marshtomp,Green
Masquerain,Blue
Mawile,Orange
Medicham,Black
Meditite,Black
Meganium,Blue
Meloetta,Orange
Meowstic,Yellow
Meowth,Black
Mesprit,Black
Metagross,Green
Metang,Green
Metapod,Black
Mew,Black
Mewtwo,Orange
Mienfoo,Black
Mienshao,Black
Mightyena,Orange
Milotic,Orange
Miltank,Black
Mime Jr.,Orange
Minccino,Yellow
Minun,Yellow
Misdreavus,Orange
Mismagius,Orange
Moltres,Green
Monferno,Yellow
Mothim,Blue
Mr. Mime,Orange
Mudkip,Green
Muk,Green
Munchlax,Black
Munna,Orange
Murkrow,Blue
Musharna,Orange
Natu,Blue
Nidoking,Green
Nidoqueen,Green
Nidoran♀,Yellow
Nidoran♂,Yellow
Nidorina,Yellow
Nidorino,Yellow
Nincada,Black
Ninetales,Orange
Ninjask,Blue
Noctowl,Orange
Noibat,Blue
Noivern,Blue
Nosepass,Green
Numel,Orange
Nuzleaf,Blue
Octillery,Blue
Oddish,Yellow
Omanyte,Orange
Omastar,Orange
Onix,Green
Oshawott,Blue
Pachirisu,Yellow
Palkia,Blue
Palpitoad,Orange
Pancham,Black
Pangoro,Black
Panpour,Blue
Pansage,Yellow
Pansear,Green
Paras,Yellow
Parasect,Yellow
Patrat,Black
Pawniard,Orange
