Games,Event,Language/Region,Location,Level,Distribution period
GSC,Gotta Catch 'Em All Station! AncientPower Bulbasaur,English,United States,5,"December 28, 2001 to January 31, 2002;
January 17 to 23, 2003"
GSC,Pokémon Center Mystery Egg #3 AncientPower Bulbasaur,Japanese,Japan,5,"April 27 to May 12, 2002"
RSEFRLG,Gather More Pokémon! Fourth Campaign Bulbasaur,Japanese,Japan,10,"February 11 to 28, 2006"
RSEFRLG,Journey Across America Bulbasaur,English,United States,70,"February 25 to July 23, 2006"
RSEFRLG,Party of the Decade Bulbasaur,English,United States,70,"August 8, 2006"
B2W2,Sticker Promotional Kanto Starter Egg Bulbasaur,Japanese,Japan,1,"September 1 to 30, 2012"
BWB2W2,Kanto Starter Egg Bulbasaur,Korean,South Korea,1,"November 8 to 11, 2012"
B2W2,Kanto Starter Egg Bulbasaur,Korean,Wi-Fi,1,"February 14 to March 31, 2013"
XYORAS,Pokémon Lab Bulbasaur,Japanese region,Online,5,"July 8 to November 30, 2015"
ORAS,2016 World Championships Bulbasaur,All,United States,5,"August 19 to 21, 2016"
SwSh,Gigantamax Factor Bulbasaur,All,Online,14,"June 17 to 30, 2021"
