Version(s),Area(s),Rarity
Red and Blue,Starter Pokémon from Professor Oak in Pallet Town,One
Blue (Japan-Only),Starter Pokémon from Professor Oak in Pallet Town,One
Yellow,Received from a girl in Cerulean City if Pikachu's Happiness is high enough,One
Gold and Silver,Time Capsule,One
Crystal,Time Capsule,None
Ruby and Sapphire,Trade,None
FireRed and LeafGreen,Starter Pokémon from Professor Oak in Pallet Town,One
Emerald,Trade,None
Diamond and Pearl,Pal Park,None
Platinum,Pal Park,None
HeartGold and SoulSilver,Reward from Professor Oak after defeating Red,One
Black and White,Poké Transfer or Dream World,None
Black 2 and White 2,Trade,None
X and Y,Received as a gift from Professor Sycamore,One
Omega Ruby and Alpha Sapphire,Trade,None
Sun and Moon,Transfer,None
Ultra Sun and Ultra Moon,Island Scan,Very rare
"Let's Go, Pikachu! and Let's Go, Eevee!",Viridian Forest,Rare
Sword and Shield,Trade,None
The Isle of Armor,Gift in Master Dojo,One
Brilliant Diamond and Shining Pearl,"Grand Underground - Grassland Caves, Sunlit Cavern, Riverbank Caves, Still-Water Cavern",None
