 Parent , Move , Type , Cat. , Pwr. , Acc. , PP ,Super Contest,Appeal
,Amnesia,Psychic,Status,—,—%,20,Cute,0  
,Charm*,Normal,Status,—,100%,20,Cute,2 ♥♥
,Curse,???,Status,—,—%,10,Tough,0  
,GrassWhistle,Grass,Status,—,55%,15,Smart,2 ♥♥
,Ingrain,Grass,Status,—,—%,20,Smart,0  
,Leaf Storm,Grass,Special,140,90%,5,Cute,2 ♥♥
,Light Screen,Psychic,Status,—,—%,30,Beauty,2 ♥♥
,Magical Leaf,Grass,Special,60,—%,20,Beauty,2 ♥♥
,Nature Power,Normal,Status,—,—%,20,Beauty,2 ♥♥
,Petal Dance,Grass,Special,90,100%,20,Beauty,0  
,Power WhipHGSS,Grass,Physical,120,85%,10,Beauty,3 ♥♥♥
,Safeguard,Normal,Status,—,—%,25,Beauty,2 ♥♥
,Skull Bash,Normal,Physical,100,100%,15,Tough,1 ♥
,Sludge*HGSS,Poison,Special,65,100%,20,Tough,2 ♥♥
