Level, Move , Type , Cat. , Pwr. , Acc. , PP,Contest,Appeal,Jamming
1,Tackle,Normal,Physical,50,100%,35,Tough,4 ♥♥♥♥,0  
3,Growl,Normal,Status,—,100%,40,Cute,2 ♥♥,0  
7,Leech Seed,Grass,Status,—,90%,10,Clever,1 ♥,0  
9,Vine Whip,Grass,Physical,45,100%,25,Cool,4 ♥♥♥♥,0  
13,Poison Powder,Poison,Status,—,75%,35,Clever,3 ♥♥♥,0  
13,Sleep Powder,Grass,Status,—,75%,15,Clever,1 ♥,3 ♥♥♥
15,Take Down,Normal,Physical,90,85%,20,Tough,6 ♥♥♥♥♥♥,0  
19,Razor Leaf,Grass,Physical,55,95%,25,Cool,4 ♥♥♥♥,0  
21,Sweet Scent,Normal,Status,—,100%,20,Cute,2 ♥♥,0  
25,Growth,Normal,Status,—,—%,20,Beautiful,1 ♥,0  
27,Double-Edge,Normal,Physical,120,100%,15,Tough,6 ♥♥♥♥♥♥,0  
31,Worry Seed,Grass,Status,—,100%,10,Clever,2 ♥♥,0  
33,Synthesis,Grass,Status,—,—%,5,Clever,1 ♥,0  
37,Seed Bomb,Grass,Physical,80,100%,15,Tough,4 ♥♥♥♥,0  
