 Level , Move , Type , Cat. , Pwr. , Acc. , PP
1,Tackle,Normal,Physical,40,100%,35
1,Growl,Normal,Status,—,100%,40
3,Vine Whip,Grass,Physical,45,100%,25
6,Growth,Normal,Status,—,—%,20
9,Leech Seed,Grass,Status,—,90%,10
12,Razor Leaf,Grass,Physical,55,95%,25
15,Poison Powder,Poison,Status,—,75%,35
15,Sleep Powder,Grass,Status,—,75%,15
18,Seed Bomb,Grass,Physical,80,100%,15
21,Take Down,Normal,Physical,90,85%,20
24,Sweet Scent,Normal,Status,—,100%,20
27,Synthesis,Grass,Status,—,—%,5
30,Worry Seed,Grass,Status,—,100%,10
33,Double-Edge,Normal,Physical,120,100%,15
36,Solar Beam,Grass,Special,120,100%,10
