Sprite, TM , Move , Type , Cat. , Pwr. , Acc. , PP 
,TM06,Toxic,Poison,Status,—,90%,10
,TM09,Bullet Seed,Grass,Physical,25,100%,30
,TM10,Work Up,Normal,Status,—,—%,30
,TM11,Sunny Day,Fire,Status,—,—%,5
,TM16,Light Screen,Psychic,Status,—,—%,30
,TM17,Protect,Normal,Status,—,—%,10
,TM19,Giga Drain,Grass,Special,75,100%,10
,TM20,Safeguard,Normal,Status,—,—%,25
,TM22,Solar Beam,Grass,Special,120,100%,10
,TM32,Double Team,Normal,Status,—,—%,15
,TM36,Sludge Bomb,Poison,Special,90,100%,10
,TM42,Facade,Normal,Physical,70,100%,20
,TM44,Rest,Psychic,Status,—,—%,10
,TM45,Attract,Normal,Status,—,100%,15
,TM53,Energy Ball,Grass,Special,90,100%,10
,TM54,False Swipe,Normal,Physical,40,100%,40
,TM58,Endure,Normal,Status,—,—%,10
,TM70,Flash,Normal,Status,—,100%,20
,TM75,Swords Dance,Normal,Status,—,—%,20
,TM82,Sleep Talk,Normal,Status,—,—%,10
,TM86,Grass Knot,Grass,Special,—,100%,20
,TM87,Swagger,Normal,Status,—,85%,15
,TM90,Substitute,Normal,Status,—,—%,10
,TM93,Cut,Normal,Physical,50,95%,30
,TM96,Strength,Normal,Physical,80,100%,15
,TM98,Rock Smash,Fighting,Physical,40,100%,15
