Game(s),Entry
Red/Blue,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.
Yellow,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy."
Stadium,The bulb-like pouch on its back grows larger as it ages. The pouch is filled with numerous seeds.
Gold,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.
Silver,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger."
Crystal,"While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow."
Stadium 2,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.
Ruby,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger."
Sapphire,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger."
FireRed,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
LeafGreen,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.
Emerald,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger."
Diamond,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
Pearl,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
Platinum,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
HeartGold,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.
SoulSilver,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger."
Black,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
White,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
Black 2,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
White 2,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
X,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.
Y,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
Omega Ruby,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
Alpha Sapphire,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
Sun,This Pokémon did not appear in Sun and Moon.
Moon,This Pokémon did not appear in Sun and Moon.
Ultra Sun,This Pokémon did not appear in Sun and Moon.
Ultra Moon,This Pokémon did not appear in Sun and Moon.
"Let's Go, Pikachu!","It can go for days without eating a single morsel. In the bulb on its back, it stores energy."
"Let's Go, Eevee!","It can go for days without eating a single morsel. In the bulb on its back, it stores energy."
Sword,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
Shield,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow."
Brilliant Diamond,"For some time after its birth, it grows by taking nourishment from the seed on its back."
Shining Pearl,"For some time after its birth, it grows by taking nourishment from the seed on its back."
